Index,Year,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1,1960,106.2062,145.245,225,54.4408,,134.2236121,176.9534,61.378,44.218,,179.913,44.8286,48.3914,45.4712,46.1038,27.1146,85.7628,184.6466,204.0016,67.663,88.455,91.8424,42.9812,16.57,181.72,,102.8358,90.0922,124.927,90.184,109.681,159.6744,171.8128,55.6166,46.09933613,18.0118,26.7686,88.4928,67.9496,232.4838,171.3492,188.5218,137.061,127.994,120.3654,116.637,118.9184,146.7437807,103.0398,105.7542,,31.0666,47.9544,37.8706,43.1298,,44.1754,167.0996,123.8892,75.21195137,116.3972204,65.91856053,47.30110941,41.16350083,131.1764,150.2574,27.08117004,119.4878,10.0564,21.4402,115.9074,38.86157523,141.7163523,29.014,112.6104,33.9466,,75.3684,180.3142,84.7406,28.4154,148.3448,,203.0624,198.0144,108.0446,174.8168,18.127,155.28,,158.6538,103.7064,145.0668,45.48577881,42.8062,159.419,153.3869385,42.3674,76.798,49.4176,86.59993238,98.38277611,148.6365637,135.7210561,143.8518,154.678224,,103.921,,10.3992,150.179,141.4524,84.0974,52.2602,19.1922,150.0516,123.1678,4.431,44.4152,179.7378,48.3302,101.081,72.8538,,32.489,164.6404,111.2135198,104.5112,84.7344,225.535,118.31,157.6034,106.0863305,156.7814059,136.933902,,98.6416,115.4217699,98.73929606,82.6836,65.43164067,16.42,25.9454,18.5598,13.1694,,150.518,,32.8038,155.49,206.4318,136.6360964,116.4508,,95.02283154,37.2764,199.98,20.6496,95.8692,139.168086,37.837,77.5018,,137.759,148.473,127.2472,185.5414,78.6396,79.30528802,129.7296,45.316,206.2864,163.956,166.3776,17.9102,27.9588,125.243,,59.432,51.02677706,134.903,100.4131141,112.675,143.5474,131.743,66.2776,,93.8466,39.672,166.319369,106.9978,7.746,26.9002,96.5818,111.26,91.55424486,43.28209787,111.0902,91.35,55.0802,27.8518,74.1108,114.6134812,124.1404,147.4322,194.95,57.6168,52.416,193.6694,144.3768,,55.389,65.0296,153.4788212,144.022,153.4776257,113.4469847,131.46,142.5992,49.6362,30.5788,39.6556,131.3118,,145.3704,117.138,,196.564,76.59720226,46.50417087,151.1482,60.3506,66.434,43.6066,106.1598586,66.5528,139.168086,59.1156,114.6134812,153.4776257,141.9462,65.6512,122.3536,,156.5452,179.456,29.514,75.99231523,62.5858,81.7568,44.1824,205.4208,137.213,,152.158,19.0252,107.8976,86.16175058,77.1474,,157.5382,63.812,181.6136,168.8736
2,1961,102.8116,145.245,226.5,56.1654,,134.838634,176.4412,61.238,44.94,,178.27,45.0668,50.8922,44.9296,46.3864,28.2988,86.6854,182.8298,205.1018,68.919,88.954,92.6312,44.7526,16.819,181.16,,102.3384,90.0706,121.552,89.575,109.681,160.0362,172.6954,54.8488,45.4221103,18.7704,27.5188,88.9244,66.8288,229.1204,173.0226,188.2494,138.003,127.994,121.4582,117.344,118.6612,146.9002317,111.5194,102.5856,,28.4048,47.9232,40.1368,44.3484,,45.0442,165.6988,124.7566,74.54177755,116.7127689,65.00035741,47.78441582,41.89204892,130.6982,149.8082,28.18181016,118.9664,10.3502,21.4466,115.8902,39.83091048,141.8621625,29.278,110.2872,35.2468,,75.1512,182.6496,86.7628,28.4562,148.2344,,200.8202,199.6612,108.2268,175.0294,18.979,152.904,,157.3434,105.2422,142.1644,45.31925492,43.3806,159.06,153.3028225,43.2062,76.798,47.4788,86.48618343,98.40580134,148.9631658,136.2008844,145.6324,154.8979332,,104.093,,11.1996,150.179,143.1922,83.9442,49.1846,19.9226,153.4718,122.1534,4.282,43.5876,181.0034,48.7556,101.081,73.2464,,30.967,165.3292,111.5569846,104.5536,84.6422,226.373,118.636,156.2942,106.3785951,157.0679235,137.3493138,,96.3858,115.9353388,98.85221175,82.5418,64.86823803,16.38,26.3132,19.1044,11.6622,,151.393,,32.2214,155.49,208.2384,137.0100712,116.6804,,95.09777362,37.8892,199.564,19.8618,96.1856,139.7162167,37.506,80.1514,,137.362,145.703,118.1206,186.0942,78.6048,76.91026934,130.1508,45.316,207.4082,163.956,164.5348,18.8006,28.1884,125.243,,58.768,50.84520578,134.903,99.49484046,112.675,142.6432,131.743,65.7388,,93.8508,37.467,166.4439146,104.8814,7.111,26.9516,96.4404,113.026,90.20628056,43.37065974,109.4146,91.35,55.3036,28.1344,74.2014,114.8814656,124.4222,147.8716,195.114,50.8234,52.416,195.0542,144.6804,,55.389,65.6718,153.4607941,144.236,153.4600938,112.8447821,131.88,142.3836,49.2996,32.3474,40.5038,133.1494,,148.5742,117.649,,197.192,75.88969939,46.68930149,150.1406,60.3518,66.047,42.7538,106.2101755,66.5904,139.7162167,56.3268,114.8814656,153.4600938,140.1306,66.3776,121.4558,,156.5406,179.968,29.029,75.68798776,62.8884,79.1964,44.7892,203.8684,138.352,,150.614,19.1786,106.8398,86.01323466,77.1462,,159.6026,63.706,183.1418,170.2848
3,1962,99.417,145.245,228,57.89,,135.5709048,175.929,61.098,45.662,,176.627,45.305,53.393,44.388,46.669,29.483,87.608,181.013,206.202,70.175,89.453,93.42,46.524,17.068,180.6,,101.841,90.049,118.177,88.966,109.681,160.398,173.578,54.081,44.7026989,19.529,28.269,89.356,65.708,225.757,174.696,187.977,138.945,127.994,122.551,118.051,118.404,147.069164,119.999,99.417,,25.743,47.892,42.403,45.567,,45.913,164.298,125.624,73.72291201,117.0326338,64.12365507,47.399983,42.33021686,130.22,149.359,29.25874691,118.445,10.644,21.453,115.873,40.74401654,141.9686613,29.542,107.964,36.547,,74.934,184.985,88.785,28.497,148.124,,198.578,201.308,108.409,175.242,19.831,150.528,,156.033,106.778,139.262,45.11678799,43.955,158.701,153.1901092,44.045,76.798,45.54,85.92268971,97.93689863,149.2285182,136.5876638,147.413,155.0716467,,104.265,,12,150.179,144.932,83.791,46.109,20.653,156.892,121.139,4.133,42.76,182.269,49.181,101.081,73.639,,29.445,166.018,111.8408435,104.596,84.55,227.211,118.962,154.985,106.6260358,157.3397016,137.5366162,,94.13,116.30334,98.47313559,82.4,64.01301362,16.34,26.681,19.649,10.155,,152.268,,31.639,155.49,210.045,137.4525255,116.91,,94.69220024,38.502,199.148,19.074,96.502,140.4007409,37.175,82.801,,136.965,142.933,108.994,186.647,78.57,74.51303143,130.572,45.316,208.53,163.956,162.692,19.691,28.418,125.243,,58.104,50.56565023,134.903,98.24165762,112.675,141.739,131.743,65.2,,93.855,35.262,166.5574544,102.765,6.476,27.003,96.299,114.792,88.95041348,43.4016997,107.739,91.35,55.527,28.417,74.292,115.150023,124.704,148.311,195.278,44.03,52.416,196.439,144.984,,55.389,66.314,153.4415461,144.45,153.4413156,112.0678044,132.3,142.168,48.963,34.116,41.352,134.987,,151.778,118.16,,197.82,75.03593196,46.10634296,149.133,60.353,65.66,41.901,106.2286081,66.628,140.4007409,53.538,115.150023,153.4413156,138.315,67.104,120.558,,156.536,180.48,28.544,74.91316159,63.191,76.636,45.396,202.316,139.491,,149.07,19.332,105.782,85.53448786,77.145,,161.667,63.6,184.67,171.696
4,1963,94.4542,145.245,228,55.368,,135.4446404,175.4168,60.9582,44.9044,,174.1624,45.9764,54.8498,45.185,46.929,29.719,88.0576,180,206.9088,70.0762,88.954,89.5818,47.862,17.1628,180.04,,101.1998,88.5444,114.5556,86.9242,109.681,160.6392,173.8722,52.2786,44.96388417,20.0324,27.8276,89.9206,62.8214,224.1518,176.3812,185.6608,139.8868,126.1352,123.0512,118.0258,116.2062,145.6199374,122.0792,96.7096,,24.6996,47.6538,43.7524,46.836,,45.5242,161.0394,123.5016,71.40985447,117.175716,62.13235173,46.44930732,41.95175976,129.2536,148.4606,29.93772519,118.0418,11.0234,22.4152,115.7786,40.72352423,141.5893619,30.41,101.3952,36.5406,,74.934,186.862,84.3684,29.8682,147.6896,,196.3204,203.1906,108.5912,176.151,22.3222,142.7712,,155.0354,103.833,136.6756,44.50613808,40.5658,158.72,152.8504567,45.159,76.0784,46.588,84.27754616,96.41256504,149.1333932,136.5307953,148.7258,154.9254069,,104.7644,,12.3996,149.186,145.6196,83.5974,44.4706,21.5912,159.7752,119.2044,4.098,40.9994,182.4724,48.5302,100.3636,72.0294,,27.4024,165.4988,110.4999041,104.6384,83.1892,226.4224,121.2174,156.5152,105.466074,157.2690533,137.4707397,,89.7234,116.495434,96.99451879,82.3688,61.71465499,16.8348,27.0492,20.325,9.2208,,151.1958,,30.5428,156.1908,210.6522,136.9718872,116.91,,93.14551019,39.7842,198.6042,17.9754,96.502,140.0547826,37.7488,82.801,,136.7664,140.3424,101.7958,187.7134,76.1424,72.56813128,130.9932,52.925,209.3538,163.5722,162.1938,20.0906,29.0768,125.5072,,59.8858,49.86726638,135.1154,97.29081064,112.675,140.982,126.2908,64.3752,,93.8408,34.453,166.3041516,99.6466,6.3428,27.5678,97.12,114.7894,85.32225346,42.90449776,106.7916,91.35,57.891,28.0364,74.292,115.5697017,124.704,148.7988,194.6532,41.6246,52.6436,197.4668,143.8154,,55.389,66.77,153.0997258,144.878,153.0997895,110.882721,132.72,139.3076,47.6776,35.9142,41.7038,136.8622,,153.57,118.0696,,198.448,72.63437048,45.18226316,148.4528,60.6068,65.271,40.4822,105.0076443,66.1782,140.0547826,51.6938,115.5697017,153.0997895,131.2854,65.8764,119.2826,,156.49,180.8384,29.1688,72.42272966,62.753,74.686,44.9824,199.2872,136.6278,,153.8776,19.36,103.6722,84.20782915,75.3182,,163.9312,63.176,184.9248,172.1664
5,1964,89.4914,145.245,228,52.846,,135.2749038,174.9046,60.8184,44.1468,,171.6978,46.6478,56.3066,45.982,47.189,29.955,88.5072,178.987,207.6156,69.9774,88.455,85.7436,49.2,17.2576,179.48,,100.5586,87.0398,110.9342,84.8824,109.681,160.8804,174.1664,50.4762,45.19129418,20.5358,27.3862,90.4852,59.9348,222.5466,178.0664,183.3446,140.8286,124.2764,123.5514,118.0006,114.0084,144.3085385,124.1594,94.0022,,23.6562,47.4156,45.1018,48.105,,45.1354,157.7808,121.3792,69.06116673,117.2376582,60.23994308,45.64798407,41.59351702,128.2872,147.5622,30.62120956,117.6386,11.4028,23.3774,115.6842,40.6486235,141.1031891,31.278,94.8264,36.5342,,74.934,188.739,79.9518,31.2394,147.2552,,194.0628,205.0732,108.7734,177.06,24.8134,135.0144,,154.0378,100.888,134.0892,43.89897611,37.1766,158.739,152.5150667,46.273,75.3588,47.636,82.62360682,94.81315384,148.9205402,136.3438677,150.0386,154.6691862,,105.2638,,12.7992,148.193,146.3072,83.4038,42.8322,22.5294,162.6584,117.2698,4.063,39.2388,182.6758,47.8794,99.6462,70.4198,,25.3598,164.9796,109.1780082,104.6808,81.8284,225.6338,123.4728,158.0454,104.3356807,157.1284198,137.5918676,,85.3168,116.5466535,95.44270435,82.3376,59.47349766,17.3296,27.4174,21.001,8.2866,,150.1236,,29.4466,156.8916,211.2594,136.4772444,116.91,,91.52636154,41.0664,198.0604,16.8768,96.502,139.6671725,38.3226,82.801,,136.5678,137.7518,94.5976,188.7798,73.7148,70.62199121,131.4144,60.534,210.1776,163.1884,161.6956,20.4902,29.7356,125.7714,,61.6676,49.27422684,135.3278,96.68906857,112.675,140.225,120.8386,63.5504,,93.8266,33.644,166.071513,96.5282,6.2096,28.1326,97.941,114.7868,81.61718743,42.39939489,105.8442,91.35,60.255,27.6558,74.292,115.9212139,124.704,149.2866,194.0284,39.2192,52.8712,198.4946,142.6468,,55.389,67.226,152.761322,145.306,152.7616774,109.9631875,133.14,136.4472,46.3922,37.7124,42.0556,138.7374,,155.362,117.9792,,199.076,70.16974663,44.39736488,147.7726,60.8606,64.882,39.0634,103.8194275,65.7284,139.6671725,49.8496,115.9212139,152.7616774,124.2558,64.6488,118.0072,,156.444,181.1968,29.7936,70.00035359,62.315,72.736,44.5688,196.2584,133.7646,,158.6852,19.388,101.5624,82.93583913,73.4914,,166.1954,62.752,185.1796,172.6368
6,1965,84.5286,145.245,228,50.324,,134.9471741,174.3924,60.6786,43.3892,,169.2332,47.3192,57.7634,46.779,47.449,30.191,88.9568,177.974,208.3224,69.8786,87.956,81.9054,50.538,17.3524,178.92,,99.9174,85.5352,107.3128,82.8406,109.681,161.1216,174.4606,48.6738,45.41177397,21.0392,26.9448,91.0498,57.0482,220.9414,179.7516,181.0284,141.7704,122.4176,124.0516,117.9754,111.8106,143.0530896,126.2396,91.2948,,22.6128,47.1774,46.4512,49.374,,44.7466,154.5222,119.2568,66.68935,117.2087257,58.48779692,45.21393597,41.36421469,127.3208,146.6638,31.33763863,117.2354,11.7822,24.3396,115.5898,40.56254512,140.5140818,32.146,88.2576,36.5278,,74.934,190.616,75.5352,32.6106,146.8208,,191.8052,206.9558,108.9556,177.969,27.3046,127.2576,,153.0402,97.943,131.5028,43.3557361,33.7874,158.758,152.1937365,47.387,74.6392,48.684,81.06679519,93.24090196,148.5947009,136.050112,151.3514,154.2989517,,105.7632,,13.1988,147.2,146.9948,83.2102,41.1938,23.4676,165.5416,115.3352,4.028,37.4782,182.8792,47.2286,98.9288,68.8102,,23.3172,164.4604,107.9109956,104.7232,80.4676,224.8452,125.7282,159.5756,103.2682485,156.9088239,137.9961874,,80.9102,116.4931132,93.91333362,82.3064,57.36131003,17.8244,27.7856,21.677,7.3524,,149.0514,,28.3504,157.5924,211.8666,135.8898032,116.91,,89.9301824,42.3486,197.5166,15.7782,96.502,139.1195945,38.8964,82.801,,136.3692,135.1612,87.3994,189.8462,71.2872,68.67552753,131.8356,68.143,211.0014,162.8046,161.1974,20.8898,30.3944,126.0356,,63.4494,48.8862999,135.5402,96.56616117,112.675,139.468,115.3864,62.7256,,93.8124,32.835,165.8726464,93.4098,6.0764,28.6974,98.762,114.7842,77.84430484,41.94616006,104.8968,91.35,62.619,27.2752,74.292,116.1983084,124.704,149.7744,193.4036,36.8138,53.0988,199.5224,141.4782,,55.389,67.682,152.4289421,145.734,152.4296192,109.3266633,133.56,133.5868,45.1068,39.5106,42.4074,140.6126,,157.154,117.8888,,199.704,67.65139076,43.94229744,147.0924,61.1144,64.493,37.6446,102.6928414,65.2786,139.1195945,48.0054,116.1983084,152.4296192,117.2262,63.4212,116.7318,,156.398,181.5552,30.4184,67.74077629,61.877,70.786,44.1552,193.2296,130.9014,,163.4928,19.416,99.4526,81.83303659,71.6646,,168.4596,62.328,185.4344,173.1072
7,1966,79.5658,145.245,228,47.802,,134.2335972,173.8802,60.5388,42.6316,,166.7686,47.9906,59.2202,47.576,47.709,30.427,89.4064,176.961,209.0292,69.7798,87.457,78.0672,51.876,17.4472,178.36,,99.2762,84.0306,103.6914,80.7988,109.681,161.3628,174.7548,46.8714,45.65083978,21.5426,26.5034,91.6144,54.1616,219.3362,181.4368,178.7122,142.7122,120.5588,124.5518,117.9502,109.6128,141.1651066,128.3198,88.5874,,21.5694,46.9392,47.8006,50.643,,44.3578,151.2636,117.1344,64.31802835,117.120469,56.8378249,45.00566192,41.24716052,126.3544,145.7654,32.10077933,116.8322,12.1616,25.3018,115.4954,40.52587394,139.8488674,33.014,81.6888,36.5214,,74.934,192.493,71.1186,33.9818,146.3864,,189.5476,208.8384,109.1378,178.878,29.7958,119.5008,,152.0426,94.998,128.9164,42.94611831,30.3982,158.777,151.8736566,48.501,73.9196,49.732,79.56626772,91.67426706,148.1765163,135.6496665,152.6642,153.8455587,,106.2626,,13.5984,146.207,147.6824,83.0166,39.5554,24.4058,168.4248,113.4006,3.993,35.7176,183.0826,46.5778,98.2114,67.2006,,21.2746,163.9412,106.6548447,104.7656,79.1068,224.0566,127.9836,161.1058,102.1995471,156.628883,138.3791192,,76.5036,116.3169484,92.37943022,82.2752,55.27496986,18.3192,28.1538,22.353,6.4182,,147.9792,,27.2542,158.2932,212.4738,135.0089517,116.91,,88.34975709,43.6308,196.9728,14.6796,96.502,138.1902384,39.4702,82.801,,136.1706,132.5706,80.2012,190.9126,68.8596,66.71833616,132.2568,75.752,211.8252,162.4208,160.6992,21.2894,31.0532,126.2998,,65.2312,48.69768421,135.7526,96.81977472,112.675,138.711,109.9342,61.9008,,93.7982,32.026,165.6902612,90.2914,5.9432,29.2622,99.583,114.7816,74.0441863,41.59099526,103.9494,91.35,64.983,26.8946,74.292,116.4311702,124.704,150.2622,192.7788,34.4084,53.3264,200.5502,140.3096,,55.389,68.138,152.0640414,146.162,152.0650563,108.5004631,133.98,130.7264,43.8214,41.3088,42.7592,142.4878,,158.946,117.7984,,200.332,65.14076991,43.68651219,146.4122,61.3682,64.104,36.2258,101.5729277,64.8288,138.1902384,46.1612,116.4311702,152.0650563,110.1966,62.1936,115.4564,,156.352,181.9136,31.0432,65.57966262,61.439,68.836,43.7416,190.2008,128.0382,,168.3004,19.444,97.3428,80.8310425,69.8378,,170.7238,61.904,185.6892,173.5776
8,1967,74.603,145.245,228,45.28,,133.3622343,173.368,60.399,41.874,,164.304,48.662,60.677,48.373,47.969,30.663,89.856,175.948,209.736,69.681,86.958,74.229,53.214,17.542,177.8,,98.635,82.526,100.07,78.757,109.681,161.604,175.049,45.069,45.90558495,22.046,26.062,92.179,51.275,217.731,183.122,176.396,143.654,118.7,125.052,117.925,107.415,138.9919905,130.4,85.88,,20.526,46.701,49.15,51.912,,43.969,148.005,115.012,61.93043371,116.9560903,55.24917325,45.02028485,41.24000956,125.388,144.867,32.90665887,116.429,12.541,26.264,115.401,40.51845805,139.1249857,33.882,75.12,36.515,,74.934,194.37,66.702,35.353,145.952,,187.29,210.721,109.32,179.787,32.287,111.744,,151.045,92.053,126.33,42.59710617,27.009,158.796,151.5608761,49.615,73.2,50.78,78.11444064,90.10713956,147.6662706,135.1901966,153.977,153.2860681,,106.762,,13.998,145.214,148.37,82.823,37.917,25.344,171.308,111.466,3.958,33.957,183.286,45.927,97.494,65.591,,19.232,163.422,105.4520657,104.808,77.746,223.268,130.239,162.636,101.1910145,156.2755988,139.1240083,,72.097,116.0611608,90.84835421,82.244,53.23913559,18.814,28.522,23.029,5.484,,146.907,,26.158,158.994,213.081,133.9853083,116.91,,86.76703512,44.913,196.429,13.581,96.502,137.1184117,40.044,82.801,,135.972,129.98,73.003,191.979,66.432,64.7645396,132.678,83.361,212.649,162.037,160.201,21.689,31.712,126.564,,67.013,48.69908438,135.965,97.32932247,112.675,137.954,104.482,61.076,,93.784,31.217,165.5354834,87.173,5.81,29.827,100.404,114.779,70.2072523,41.29816101,103.002,91.35,67.347,26.514,74.292,116.6063087,124.704,150.75,192.154,32.003,53.554,201.578,139.141,,55.389,68.594,151.7136765,146.59,151.7150942,107.7370984,134.4,127.866,42.536,43.107,43.111,144.363,,160.738,117.708,,200.96,62.59254731,43.63119882,145.732,61.622,63.715,34.807,100.5061276,64.379,137.1184117,44.317,116.6063087,151.7150942,103.167,60.966,114.181,,156.306,182.272,31.668,63.49085872,61.001,66.886,43.328,187.172,125.175,,173.108,19.472,95.233,79.94400598,68.011,,172.988,61.48,185.944,174.048
9,1968,71.665,145.245,228,42.1176,,130.8725,171.729,61.9796,41.6992,,158.2388,48.6296,59.5646,44.9196,48.0112,30.799,90.4374,174.5826,208.5898,70.0012,84.4128,76.3198,52.7768,18.872,177.24,,97.9606,80.9276,98.554,77.7342,109.681,160.8804,175.049,43.4946,45.68215883,21.554,24.9498,90.7618,46.9252,217.5026,184.4582,172.4012,144.3872,112.58,125.052,117.5814,105.2566,135.9761169,132.8796,81.6764,,20.608,47.4402,47.776,52.2188,,40.693,144.5842,112.6814,57.84357784,116.1721922,52.19619977,45.6626438,41.23722049,123.242,142.8456,33.11528806,116.1544,13.4562,27.7348,116.1896,39.88722878,137.7115515,32.7628,71.893,36.7978,,74.934,195.7266,61.9316,35.0886,145.2312,,185.9788,211.6976,109.0966,179.4832,34.2414,110.96,,150.1456,92.2532,124.2172,42.36600857,25.7948,157.1968,151.3257384,50.2582,71.3404,51.781,75.91040286,87.90567926,146.9512587,135.0978783,149.071,152.2722675,,107.2806,,15.5978,143.3032,142.8118,80.3708,38.8838,26.239,168.43,109.1778,4.0882,34.1474,182.7436,46.023,95.9332,63.327,,17.958,158.4256,103.9119144,104.8504,76.0642,221.4424,130.591,161.7962,100.0035408,155.4319959,139.864143,,67.4008,115.1163565,88.65274289,82.244,50.21274053,19.7124,28.2412,23.9984,5.62,,142.995,,27.4422,159.336,212.7694,131.5053684,117.4558,,84.46527203,45.1752,195.9734,13.3768,95.3566,134.3448032,38.536,82.801,,140.0576,128.1266,69.5824,193.035,63.1548,63.60377081,133.9416,82.1036,213.4092,163.2712,159.7422,21.133,32.035,126.795,,66.6118,48.85058195,136.2338,97.92209604,112.131,136.9948,100.8464,60.0256,,94.5446,30.2398,165.4765128,85.6988,5.4738,30.2476,99.0844,113.908,70.4225577,41.14996366,101.6488,90.7732,66.7384,27.6366,74.4442,116.5870359,124.845,150.9214,190.8948,30.6728,71.3386,202.5304,138.218,,55.1598,67.8824,152.0089959,146.7764,152.0099804,107.0945688,134.8852,124.8704,42.3,45.6804,40.9948,145.591,,157.816,117.7268,,202.6618,58.3512162,44.1104348,145.5848,61.4022,63.8774,33.7456,99.21358017,63.0802,134.3448032,41.6752,116.5870359,152.0099804,100.965,57.4054,112.4402,,156.1218,182.1696,33.1728,60.5759583,61.8808,65.785,43.0444,182.49,121.58,,171.6492,19.3898,93.4508,78.58229412,66.887,,172.1802,64.496,186.4534,174.048
10,1969,68.727,145.245,228,38.9552,,128.4121577,170.09,63.5602,41.5244,,152.1736,48.5972,58.4522,41.4662,48.0534,30.935,91.0188,173.2172,207.4436,70.3214,81.8676,78.4106,52.3396,20.202,176.68,,97.2862,79.3292,97.038,76.7114,109.681,160.1568,175.049,41.9202,45.43014984,21.062,23.8376,89.3446,42.5754,217.2742,185.7944,168.4064,145.1204,106.46,125.052,117.2378,103.0982,133.1928006,135.3592,77.4728,,20.69,48.1794,46.402,52.5256,,37.417,141.1634,110.3508,53.90069711,115.4780888,49.04611638,46.24498559,41.23466253,121.096,140.8242,33.30428333,115.8798,14.3714,29.2056,116.9782,39.26575756,136.3973208,31.6436,68.666,37.0806,,74.934,197.0832,57.1612,34.8242,144.5104,,184.6676,212.6742,108.8732,179.1794,36.1958,110.176,,149.2462,92.4534,122.1044,42.03344648,24.5806,155.5976,151.1092418,50.9014,69.4808,52.782,73.84427175,85.92190275,146.3123546,134.9969421,144.165,151.3875246,,107.7992,,17.1976,141.3924,137.2536,77.9186,39.8506,27.134,165.552,106.8896,4.2184,34.3378,182.2012,46.119,94.3724,61.063,,16.684,153.4292,102.3820503,104.8928,74.3824,219.6168,130.943,160.9564,98.80664613,154.6929693,140.1998598,,62.7046,114.3119259,86.65478548,82.244,47.13638878,20.6108,27.9604,24.9678,5.756,,139.083,,28.7264,159.678,212.4578,129.0494763,118.0016,,82.37237564,45.4374,195.5178,13.1726,94.2112,131.6091943,37.028,82.801,,144.1432,126.2732,66.1618,194.091,59.8776,62.44988005,135.2052,80.8462,214.1694,164.5054,159.2834,20.577,32.358,127.026,,66.2106,48.87063254,136.5026,98.35407024,111.587,136.0356,97.2108,58.9752,,95.3052,29.2626,165.3813479,84.2246,5.1376,30.6682,97.7648,113.037,70.59876239,40.90951524,100.2956,90.1964,66.1298,28.7592,74.5964,116.640338,124.986,151.0928,189.6356,29.3426,89.1232,203.4828,137.295,,54.9306,67.1708,152.337796,146.9628,152.3382581,106.4982757,135.3704,121.8748,42.064,48.2538,38.8786,146.819,,154.894,117.7456,,204.3636,54.31402897,44.54085852,145.4376,61.1824,64.0398,32.6842,97.92006054,61.7814,131.6091943,39.0334,116.640338,152.3382581,98.763,53.8448,110.6994,,155.9376,182.0672,34.6776,57.69621907,62.7606,64.684,42.7608,177.808,117.985,,170.1904,19.3076,91.6686,77.24440927,65.763,,171.3724,67.512,186.9628,174.048
