Index,Year,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1,1960,,,,,,,,527233600,,,,742550000,720945600,,,1526945821,,,,,,,,,,,6715418.4,432848800,,,,,,2012986400,,2361508000,,111888400,,,,,,171352400,,,13460727.6,,144018160,,,,,7083840800,,,287547600,25973200,,,,,,,41077600,,,,544061600,,55049600,,,327964400,,2300194000,,,,3767016801,,,,,,,,242101200,,,54465080,,,,,13320360,,,4300000,,,,,,,,,674536630.9,,324568724,185218400,259340000,12332400,213156800,3288591200,,46380000,1953371600,,,,,,,157015600,,,,140193600,,82390000,,,,,,101260000,,,,,,,,,,,,,,,,444341600,,,,,59300000,121690000,,,,,,,,,471000000,,,,,,11736000,1885730632,308178400,,,,,,,327400600,,76811600,126942400,,,,,,,801276000,1011709.2,,,,,,,,,,,190600000,,,,,33573600,,,,,,,,,,,,505439200,,,,28330800,,,,,,373373600,,,,,,,,,,,205127600,,,,,,191463600,19664164000,,,,,,,,,,,,272204000,,
2,1961,,,,,,,,386407550,,,,1158000000,847058100,,,1819222318,,,,,,,,,,,7404270.65,471156150,,,,,,2296085100,,2769871000,,74114900,,,,,,140367100,,,6263920.65,,,,,,,7180500800,,,282882350,9022900,,,,,,,38397350,,,,887873550,,57280450,,,342971000,,3374550000,,,,3327714600,,,,,,,,267482900,,,54861645,,,,,12328965,,,3000000,,,,,,,,,666357094.9,,342337293.5,209547100,217949700,23919350,279512900,3809235500,,51230000,1667124550,,,,,,,207046580,,,,161550900,,86960000,,,,,,90000000,,,,,,,,,,185269350,,,,,,413480000,,,,,59300000,94990000,,,,,,,,,472000000,,,,,,13526650,1962252519,303430200,,,,,,,261302470,,110623100,53690650,,,,,,,693999000,2520352.9,,,,,,,,,,,177100000,,,,,24551105,,,,,,,,,,,,731316450,,,,21086450,,,,,,454901550,,,,,,,,,,,195570000,,,,,,191754650,18825530000,,,,,,,,,,,,394839500,,
3,1962,,,,,,,,114741240,,,,1168180000,1081957340,,,1756067570,,,,,,,,,,,4005989.98,336000900,,,,,,2561922010,,2924334000,,78890610,,,,,,85129030,,,12599154.97,,,,,,,6964883190,,,255803820,19716020,,,,,,,43348220,223227760,,,1045887990,,65001370,,,304091800,,4053563700,,,,3313161731,,,,,,,,286669630,,,45845998,,,,,13298717,,,2200000,,,,,,,,,512791844,,359296150.3,210768020,193445580,31917030,419626970,4072606720,74200000,58050000,2021337500,,,,,,,168650269.9,,,,206563420,,96165600,,,,,,85000000,,,,,,,,,,174203030,,,,,,427198020,,,,,66700000,154184000,,,,,,7900000,,,531546300,,,,,,17241260,1946625625,303975970,,,,,,,269316859,,116734780,75066970,,,,,,,808042200,2140170.02,,,,,,,,,,,170200000,,,,,26364137,,,,,,,,,,,,801886970,,,,33043010,,,,,,523663390,,,,,,,,,,,190280000,,,,,,202874030,17252463900,,,583412200,,,,,,,,,647247500,,
4,1963,,45547800,,,,,,269807440,,,,1634000000,1229910840,,,1973351171,,,,,,,,,,,10404576.44,355042320,,,,,,2615182920,,3128395600,,77083480,,,,,,87126680,,,15619750.68,,,,,,,7659475440,,,470635320,41966880,,,,,,,51632720,216277440,,,1148505160,,66080520,,,337893480,,4914646800,,,,3153679121,,,,,,,,292161880,,,56752800,,,,,12449272,,,2600000,,,,,,,,,607862500.4,,406071293.2,241829560,295073520,34507320,515211720,3624125520,89900000,62660000,2059016360,,,,,,,131455308.9,,,,206512480,,121976000,,,,,,75000000,,,,,,,,,,110211320,,,,,,548302680,,,,,69100000,184796000,,,,,,10100000,,,555268400,,,,,210030680,31835560,2103079422,353954840,36256169.6,,,,,,307832196,,135311200,109064000,,,,,,,843136000,3220192.88,,,,,,,,,,,101190000,,,,,44455720,,,,,,,,,,,,757918680,,,,22048440,,,,,,576683160,,,,,,,,,,,178272880,,,,,,186186760,16878648000,,,745526800,,,,,,,,,774940000,,
5,1964,,44619680,,,,,,153293600,,,,1680020000,1319442160,,,2227003947,,,,,,,,,,,22546124.32,245487600,,,,,,2893026720,,3330443200,,88838080,,,,,,104193840,,,18612133.52,,,,,66210000,,7895954160,,,645440720,41420320,,,,,,,51638400,223742480,,,1515235680,,61174240,,,384130412.3,,5736854800,,,,2322326240,,,,,,,,281585440,,,59627352,,,,,19699408,,,2100000,,,,,,,,,499145125.8,,446065243.2,191508480,251168400,43818480,545175920,3831167440,96950000,77080000,2020624000,,,,,,,136361055.5,110363200,,,233028080,,171922960,,,,,,52000000,,,,,,,,,,53111520,,,,,,587594480,,,,,71500000,214887632,,,,,,10450000,,,593424000,,,,,228053520,38926080,2351701688,387005120,49119654.4,,,,,,254226648,,160421120,123073840,,,,,,,955702800,5470284.32,,,,,,,,,,585032480,71100000,,,,,53500664,,,,,,,,,,,,965188000,,,,33070160,,,,,,660812240,,,,,,,,,29940000,32112337.84,142339680,,,,,,186682640,16725493600,,,832985200,,,,,,,,,706829200,,
6,1965,,45434560,,,,,,236095840,,,,1317030000,1314046080,,,2339311318,,,,,22700000,,,,,,36572986.48,484251120,,,,,10163000,3040845600,,3454279200,,137640480,,,26700000,,6193000,96120000,,,19822133.52,,,,,83710000,,7445164400,,,587293840,50820320,,,,,,,46038400,193777600,,,1411897520,,77165920,,,289463318.6,,6359615200,,,17633000,3011764240,,132509200,,,,,,250520560,,,67884400,,,,,23388872,,,1400000,,,,,,,,,600850886.2,,409042000,251965520,235056320,53918480,643181280,4808141120,95840000,139846640,2153610240,,,,,,,146287069.5,124077600,,,251644720,,245992080,,,,,,73000000,,,,,,,,,,98872000,,,,,,538031680,,,,,78900000,180797632,,,,,,9850000,,25227000,,,,,,239053520,57326320,2419709454,476020480,59519654.4,,,,,,230344688,,174910400,193590320,,,,,,,1011085200,10270284.32,,,,,,,,,,726260320,59700000,,,,,56514896,,8600000,,,,,,,,,,972237520,,,,45070160,,13623000,,,,739800720,,,,,,,,,28540000,36013013.52,141387680,,,,,,179141120,15498323200,,,819985200,,,,,,,,,600866800,203871760,
7,1966,,47114050,,,,,,216174480,,,,1569256000,1336543420,,,2357973398,,,,,21545600,,,,,,41219613.49,425796620,,,,,6423000,2707536060,,3560372300,,172330290,,,33700000,,6183000,77125660,,,17096303.49,,,,,98210000,,8052102610,,,597676340,43626340,,,,,,,61158146.51,156816540,,,1210578030,,78676090,,,188909152.8,,6761305400,,,11563000,3109538540,,111130400,,,,,,273284990,,,60807566,,,,,27389089,,,2200000,,,,,,,,,609694584.5,,494124756.6,268925660,324963040,58050510,621344090,4923709110,87640000,167673430,2121519420,,,,,,,245208677.3,164674800,,,282747660,,339427460,,,,,,43000000,,,,,,,,,,86814000,,,,,,564571660,,,,,90200000,184364834,,,,,,7770000,,21410000,,,,,,215353490,58109750,2458087678,527729180,44983566.82,,,,,,208453006,,155236310,193733830,,,,,,,1080200300,11540444.34,,,,,7200000,,,,,747859490,57200000,,,,20000000,56991179,,12300000,,,,,,,,,,1028422000,,,,53108170,,7373000,,,,923957800,,,,,,,,,29690000,27920613.49,131543660,,61300000,40910000,,,177305340,14953446600,,,778787400,,,,,,,,,834478000,217613970,87074890
8,1967,,38528800,,,,,,727208400,,,,1365680000,1488335600,,5050000,2597706014,,,,,28342400,,,,,,37943132.8,200149600,,,,,4753000,2722684400,,3713752000,,126672800,,,24350000,67608400,2623000,83187200,,,18166899.2,,,,,103460000,,8176362000,,,535507200,32427200,,,,,,,69213239.67,196019200,,,1053098400,,64681200,,,184204841.9,,7023698000,,,9433000,2702371600,,82732000,,,,,,286873600,,,65213280,,18850000,,,25089680,,,1900000,,,,,,,,,663764119.8,,439183008,325062800,369156000,35260800,714857200,5476253200,85040000,244064400,2032436400,,75830000,,,,,356582296.8,184684400,,,282162800,,385446800,,,,,,55000000,,,,,,,,,,75720000,,,42882000,,,586953600,,,,,89500000,155498720,,,,,,8800000,,22500000,457018000,,,,,112359200,32089600,2629210308,677214400,46384505.6,,218554188.8,,,,165486080,,125860400,180332800,,,,,,,1237714000,12260467.2,,,,,10992800,,,6690000,,761879200,54700000,,,,15900000,54871040,,10000000,,,,,,,,,,841824518.8,,,,74113600,,983000,,,,1008984000,,,,,,,,,30300000,40123433.6,119539200,,61710000,34930000,,,162627200,14898992000,,,873902000,,,,,,,,,781748000,187327600,89052800
9,1968,,45589800,,,,,,780833300,,,,1493121700,1650819000,,2950265.9,2486675902,,,,,51630300,44400000,,,,,41648875.1,266422900,15520000,,,,4697251.474,3215954000,,4810243000,,217559400,,,40850759.32,140290200,7407366.398,179123400,,,20946024.9,,,,,158865100,,10843279100,,,471330200,36203400,532109700,,,,,,62499909.98,187040600,,,1303543700,,67958900,,,346987405.3,,4965133000,,,5466940.316,2712427900,,97004000,,,,,,349516700,,,69463170,,23550000,,,31572460,,,2500000,,,,,,,,,730352744.9,,560314166,322136600,490617600,27955100,672002300,5918045600,120240000,290247400,2976246800,,100050000,,,,,391778858.3,196544900,,,388526600,,555590300,,,,,,52000000,,,,,,,,,,89140000,,,30582000,,,689436600,,,,,153323100,169002340,,,,,,7420000,,22510000,529201000,,,,,121194900,48613700,2798136289,707150100,65316279.5,,161709283.2,,,,258389140,,115115400,173204900,,,,,,,1531644000,12235783.4,,,,,15051500,,,5780000,,684960000,47700000,,,,27500000,65447490,,6750000,,,,,,,,,,859632541.8,,,,72600000,,-2246152.083,,,,1038538000,,,,,,,,,49410000,36228000,142104900,,77540000,49030000,,,193197100,17857180000,,,1000929000,,,,,,,,,1716029000,201207700,37213800
10,1969,,41373600,,,,,,538310000,,,,1262842800,1541024000,,7453827.2,2395121264,,,,,67942400,26070000,,,,,42066867.2,656773200,12470000,,,,1196210.621,3111279600,,4440248000,,343766400,,,48085555.72,199438800,5741698.402,221153600,,,29156899.2,,,,,177030800,,7152711600,,,446662400,39827200,410627600,,,,,,65130089.86,145124800,,,1285926800,,71858800,,,327209700.2,,3853168000,,,8286353.371,2535411000,,71832000,,,,,,317766800,,,74213280,,20550000,,,30929680,,,3500000,,,,,,,,,927764119.8,,691353008,310902800,477546400,38520800,412671200,5061676400,117940000,262689200,3656226000,,169660000,,,,,552934355.3,182617600,,,348892800,,918062400,,,,,,40000000,,,,,,,,,,114120000,,,19382000,,,663370800,,,,,139294800,129698720,,,,,,3570000,33050000,21010000,619980000,,,,,132459200,44212800,2540014732,710409600,83753427.2,,209849305.6,,,,332933120,14100000,167156800,121267200,,,,,,,1449770000,10330467.2,,,,,15912000,,,3010000,,607180000,36400000,,826630000,,35400000,63874720,,14229600,,,,,,,,,,696993134.7,,,,59160000,,-4810495.809,,,,984984000,,,,,,,,,44720000,36924566.4,245673600,,80260000,52270000,,,185037200,17031416000,,,935072000,,,,,,,,,1404632000,369381600,56120400
