Index,Year,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1,1960,,240.5,,,,,134.4,,,,,20.3,37.2,,,29.5,191.4,155.3,172.9,,134.4,,,,,,174.4,127.6,69.6,,,115.3,165,27.8,,21.7,,131.3,,212.8,164.6,,109.9,93.9,,,,,,,,,,,,85.7,21.3,101.8,146.1,,,,,,119.8,210.5,,,38.4,,,,,22,57.2,23.7,,,,22.9,,124.2,,,152.3,,,38.9,,,146.7,,66.5,,,140,,,189.8,47.5,,,,,148.5,,,161.4,,30.3,,129.2,17.5,,44.2,60.8,106.8,30.4,,117.4,,,,,79.2,97.3,,,56.7,208.8,163.6,,,,,,70.1,,,141.3,,,,,,,144.2,,,,,,103.1,85.9,,,,36.3,,,,,,,129.9,68.4,,67.2,,,,,,133,16.5,18.4,216.5,,22.6,,,,189.8,65.8,135.6,66.1,,133.9,57.9,,,,84.4,60.5,,,,,,,,131.1,,,106.1,127.7,35.6,126.1,222.4,124.8,,,,,,,,,,,,16.3,142.7,,73.2,116.4,,,,,159.6,101.4,,,,,,,,,55.5,,172.6,,143.2,131.5,,,57.7,25.9,,,58.9,,,,105.6,,,,,,122.2,92.5
2,1961,,236.2,,,,,128.4,,,,,19.9,35,,,28.1,188.1,153.7,168.6,,123.7,,,,,,171.3,124.3,65,,,112.1,162.5,26.9,,21.2,,124.1,,207.1,160.9,,107.8,91.1,,,,,,,,,,,,79.4,20.8,101,146.3,,,,,,116.4,203.6,,,35.9,,,,,20.6,55.1,22.4,,,,22.4,,122.9,,,149.9,,,38.2,,,143.8,,64.1,,,135.7,,,186.8,45.6,,,,,144.8,,,159,,29.1,,122.2,17.2,,42.6,58.6,101.2,27.9,,112.9,,,,,75.8,91.6,,,55.2,209,155.3,,,,,,67.7,,,140.7,,,,,,,141.9,,,,,,99.1,82.2,,,,34.9,,,,,,,127,66.3,,63.3,,,,,,131.7,16.1,18,213.8,,21.8,,,,183.3,64,132.4,64.3,,129.9,53,,,,82.1,60,,,,,,,,128.7,,,104.7,127.7,32.9,120.2,219.3,122.4,,,,,,,,,,,,16,141.2,,72,111.3,,,,,156.8,98.2,,,,,,,,,53.9,,167.3,,141.9,128.9,,,56.5,25.4,,,57.2,,,,103.2,,,,,,120,90
3,1962,,232.2,,,,,122.2,,,,,19.5,32.9,,,27,184.3,152.2,164.7,,113.8,,,,,,168.2,121.1,61.1,,,108.9,160,26,,20.8,,118.7,,201.4,157.9,,105.7,88.4,,,,,,,,,,,,73.7,20.2,99.9,146.6,,,,,,113.3,196.6,,,33.7,,,,,19.5,53.2,21.3,,,,22,,121.9,,,147.6,,,37.3,,,140.9,,61.9,,,131.5,,,184,44.2,,,,,141.3,,,156.7,,28,,116.1,16.9,,40.9,56.5,95.9,25.5,,109,,,,,72.7,86,,,54,208.7,147.3,,,,,,65.4,,,140.5,,,,,,,139.6,,,,,,95.7,78.9,,,,33.7,,,,,,,124.2,63.3,,59.5,,,,,,130.4,15.7,17.5,210.4,,20.9,,224.8,,177.3,62.3,129,62.8,,126,49.6,,,,78.8,59.6,,,,,,,,126.9,,,103.2,127.8,30.9,114.8,216.1,120.1,,,,,,,,,,,,15.6,139.5,,70.6,106.4,,,,,154,95,,,,,,,,,52.2,181.1,161.9,,140.4,126.5,,,55,24.9,,,55.7,,,,100.6,,,,,,118,87.5
4,1963,,228.3,,,,,116.1,,,,,19.1,31.2,,,26,180.1,150.8,161.1,32.6,104.8,,,,,,165.1,118.1,57.6,,,105.7,157.3,25,,20.1,,113.4,,196.1,155.5,,103.6,85.9,,,,,41.7,,,,,,,68.6,19.5,98.6,147,,,,,,110.3,189.9,,,31.9,,,,,18.4,51.5,20.3,,,,21.4,,121.2,,,145.3,,,36.2,,,138.1,,60.2,,,127.3,,,181.1,42.7,,,,,137.8,,,154.6,,27,,110.5,16.5,,39.1,54.6,90.8,23.1,,105.6,,,120.4,,69.7,80.8,,,52.7,208,139.6,,,,,,63.2,,,140.7,,,,,,,137.2,,,,,,92.7,75.7,,,213.6,32.6,,,,,,,121.4,60,,56.1,,,,,,129.1,15.3,17.1,206.6,,20,,214.6,,171.6,60.6,125.5,61.5,,122.1,46.8,,,,74.6,59.3,,,,,,52.3,,125.6,,,101.8,128,29.3,109.8,212.8,118,,,,,,,,,,,,15,137.5,,69.2,101.8,,,,,151.3,91.8,,,,,,58.6,,,50.7,172.5,156.5,,138.9,124.2,,,53.6,24.3,,,54.5,,,,97.8,,,,,,116.3,85
5,1964,,224.6,,,,,109.9,,,,,18.7,29.6,,141.6,25,175.6,149.5,157.9,32.1,96.2,,,,,,162,115.4,54.5,,,102.7,154.5,24,,19.3,,106.3,,190.9,152.8,,101.4,83.5,,,,,40.6,,,,,,,64.1,18.7,97.2,147.6,,,,,,107.6,183.7,,,30.3,,,,,17.4,50,19.3,,,,20.8,,120.6,,,143,,,35.3,,,135.2,,58.8,,,123.4,,,178.3,41.1,,,,,134.2,,,152.7,,25.9,,105.3,16,,37.4,52.9,86.3,21,,102.8,,,116.3,,66.7,75.7,,,51.6,206.9,132.3,,,,,,61.3,,,140.8,,,25.7,,,,134.7,,,,210,,90.1,72.8,,,210.1,31.6,,,,,,,118.7,58,,53.1,,,,,193.7,127.6,14.9,16.6,202.4,,19.3,,204.9,,166.4,59.1,121.9,60.3,,118.4,43.7,,,,70.1,59.1,,,,,,46.5,,124.9,,,100.6,128.2,28.3,104.7,209.5,116,,,,,,,,,,,,14.3,135.1,,67.6,97.5,,,,,148.6,88.8,,,,,,55.6,,,49.3,164.4,151.5,,137.3,122,,,52.7,23.8,,,53.4,,,56.3,94.9,,,,267.5,,115,82.5
6,1965,,220.6,,,,,103.5,,,,,18.5,28.4,,142.8,24.1,171.2,148.4,155.2,31.8,88.2,,,,,,159,112.9,51.7,,,99.7,151.6,23.1,,18.4,,96.8,,186,149.4,,99.1,81.3,,,69.3,,39.7,,,,,,,60.2,17.9,95.5,148.1,,,,,,105.2,178.2,,,28.8,,,,,16.6,48.7,18.5,,,,20.1,,120.4,,,140.7,,,34.4,,,132.3,,57.6,,,119.5,,,175.5,39.8,,,,,130.7,,,150.9,,24.7,,100.5,15.5,,35.8,51.3,82,19.1,,100.6,,,112.3,,63.5,70.9,,,50.6,205.3,125.2,,,,,,59.6,,,140.9,,,24.4,,,,132.2,,,,204.2,,87.8,70.2,,,206.6,30.6,,,,,,181.1,115.9,59.6,211.8,50.5,,,,,189.4,126.1,14.5,16,198,,18.7,,195.9,,161.6,57.6,118.3,59.2,,114.9,40.6,,,,66.3,58.9,,,,,,45.5,,124.7,,,99.3,128.3,27.3,100,206.1,114.1,,,,,,,,63.2,,,,13.7,132.5,,65.9,93.2,,,,,145.9,85.8,,,,,,52.7,,,48.1,156.4,146.8,,135.4,120,,,52.1,23.3,,,52.5,,,56,91.9,,,,260.6,,114,80
7,1966,,216.8,,,,,96.8,,,,,18.3,27.3,,143.8,23.3,167.2,147.4,152.9,31.4,80.7,,,,,,155.9,110.7,49.2,,,96.8,148.6,22.1,,17.6,,87.1,,181.1,145.4,,96.6,79.1,,,66.3,,39.4,,,,,,,56.9,16.9,93.8,148.5,,,,,,103,173.5,,,27.4,,143.6,,,15.8,47.5,17.7,,,,19.6,,120.4,,199.9,138.6,,,33.5,,,129.4,,56.8,,,115.8,,,172.6,38.8,,,,,127,,,149.1,,23.3,,95.9,15,,34.3,49.8,78.1,17.6,,98.9,,,108.6,,60.2,66.6,,,49.8,203.2,118.6,,,,,,58,,,140.4,,,23.2,,,,129.6,,,,198.2,,85.7,67.7,,,203.3,29.6,,,,,,181.8,113.1,65.2,210.4,48.3,,,,,185.2,124.4,14.1,15.4,193.5,,18.3,,186.7,,157.3,56.2,114.9,58.2,,111.5,38,,,,63.6,58.7,,,,,,49.4,,125,,,98.3,128.2,26.3,95.1,202.6,112.2,,,,,,,,61.2,,,,13,130,,64,89.2,,,,,143.1,82.8,,,,,,49.9,,,47.1,148.6,142.4,,133.5,118,,,51.7,22.7,,,51.7,,,55.6,89,,,,253.1,,113.3,77.8
8,1967,,212.8,,,,,90.1,,,,,18.2,26.4,,144.9,22.5,163.8,146.6,151.2,30.9,73.8,,,,78.3,,152.8,108.5,47,,,93.9,145.5,21.2,,16.9,,78.9,,176.3,140.8,,94.2,76.9,,,64.2,,39.6,,,,,,,53.9,16,92,148.6,,,,,,101,169.8,,,26,,143.4,,,15.1,46.5,17.1,,,,19.1,,120.6,,198.1,136.4,,,32.5,,,126.5,,56.1,,,112.2,,,169.5,37.9,,,,,123.3,,,147.5,,21.9,,91.6,14.4,,33.1,48.4,74.4,16.3,,97.3,,,105.1,,56.8,62.6,,,49,200.6,112.1,,,,,,56.7,,,139.3,,20.1,22.1,,,,127.1,,,,192.3,,83.6,65.4,,,200.6,28.4,,,,,,182.4,110.4,69.9,209.1,46.3,,62.6,,126.8,181.1,122.6,13.8,14.8,189,,17.9,,177.8,,153.4,54.8,111.8,57.3,,108.2,36,,,,61.6,58.5,,,,,,54.5,,126,,,97.4,127.8,25.2,90.1,199.3,110.4,,,,,,,,59.5,,,,12.5,127.5,,61.8,85.2,,,,,140.3,79.9,,,,,,47.1,,,46.1,141.2,138.2,,131.5,116.3,,,51.4,22,,,50.8,,,55.3,85.9,,,,244.7,,112.8,75.8
9,1968,,209.1,,,,,83.6,,,,,18.1,25.7,,145.7,21.9,161.3,145.8,149.8,30.1,67.4,25.1,,,75.3,,149.7,106.4,45,,,91,142.5,20.3,,16.3,,72.6,,171.6,135.4,,91.9,74.8,,,63.1,,39.6,,,,,23.5,,51,15.3,90.2,148.2,,,,,,99.3,166.8,,,24.4,,143.3,,,14.4,45.6,16.4,,,,18.7,,120.6,,196.2,134.2,,,31.2,,,123.5,,55.5,,,108.6,,,166.5,36.9,,,,,119.7,,,145.8,,20.7,,87.7,13.9,,32,47,71.1,15.1,,95.7,,,101.9,,53.5,59,,,48.4,197.4,106.2,,,,,,55.6,,,137.7,,20.7,21,,,,124.6,,,90.9,186.4,,81.5,63.1,,,198.2,27.2,122.5,,,,,182.8,107.8,67.8,207.6,44.6,,62.8,,128.2,176.9,120.6,13.4,14.2,184.5,,17.5,,168.9,,150,53.4,108.9,56.5,,104.9,34.4,,,,60.1,58.3,,,,,,55.6,,127.3,,,96.5,127.2,24.1,85.1,196.1,108.5,,,,,,,,58.1,,,,12.1,125.2,,59.3,81.4,,,,,137.6,77,,,,,,44.3,,,45.2,134.2,134.2,,129.6,114.8,,,50.7,21.3,,,49.9,,,55,83,,,,236.2,,112.1,74.2
10,1969,,205.3,,,,,77.1,60,,,,18,25.3,,146.3,21.3,159.1,145.1,148.9,29,61.6,25.7,,,72.4,,146.5,104.2,43,,185.5,88,139.6,19.4,,15.6,,68.6,82.9,167,130.2,149.7,89.7,72.6,,126,62.9,,39.1,,,,,22.7,,48,14.5,88.4,147.1,,,,,,97.6,164.4,,,22.5,,143.3,,,13.8,45,15.8,,,,18.4,,120.5,,194.2,132.1,,,29.4,,,120.4,,55.2,,,105,,,163.4,35.9,,,,,116.2,,,144.1,,19.7,,84,13.3,,30.9,45.6,67.9,14.2,,94,,,98.7,,50.2,55.9,,,47.8,193.9,100.4,,,,,,54.7,,,135.6,,19.7,19.9,,,,122.3,,,91.7,180.3,,79.1,60.9,,,196.1,26,120.5,,,,,182.7,105.8,61.8,205.7,43.2,,63,,129.6,172.7,118.6,12.9,13.7,180.2,,17.2,,160.3,,146.9,51.8,106.3,55.8,,101.7,33.3,,,,58.4,58.1,,,,,53.6,52.2,,128.9,,,95.8,126.3,23,80,192.9,106.6,,,,,,,,57.2,,,,11.7,123,,56.8,77.6,,,,,134.7,74,,,,,,41.7,,,44.4,127.4,130.4,,127.8,113.6,,,49.7,20.6,,44.9,49,,,54.6,79.9,,,,227.3,,110.8,72.9
