Index,Year,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1961,180,652860,1246700,27400,470,11235451,71020,2736690,28470,200,440,7682300,82580,83217,25680,,112760,273600,130170,110630,690,10010,51200,202840,22810,54.00000095,1083300,8358140,430,5270,46722.99805,566730,622980,9093510,1105986,39528.00049,197.9999924,743532.0313,9388250,318000,472710,2267050,341500,1109500,1861.000061,4030,51060,404800,107400,444,240,9240,77270,349130,23180,750,42370,48310,2381740,15928630,33145133,24402270,22639404,27358694,276840,995450,2645872.016,101000,499780,42390,1000000,4210992.016,12937278,304590,18270,547566.0156,1396.000061,,257670,241930,69490,227540,10,245720,10120,28120,28050,128900,340,341700,107160,540,196710,37785418.43,1020,111890,17378481,55910,27560,90040,69459739.03,93411800.03,23952061,5937530,1811570,18014531,570,2973190,,68890,1628760,437370,100250,21640,294110,10830,88240,366700,2699700,569140,191800,176520,810,350,96460,17820,16314090,230800,10230,96320,1759540,610,20071304.43,17771344,14233411,160,62710,19727660,89547668,30360,44547515.03,62680,,62196,20,54.4,446340,2,32870,581540,300,11226270,1943950,,75314257,25430,1220190,320,653540,8643980,13450,1553560,,786380,1030700,2030,94280,328550,18252524,823290,18280,1266700,910770,120340,33760,365243.9844,143000,20,263310,34449566.03,309500,2039233.998,770880,74340,1280000,298260,,452860,306290,17792411,8870,120410,91500,397300,6020,62860,31452928,3660,11610,230340,16389950,24670,4779832.998,2149690,,192530,670,27990,72180,20850,60,627340,87460,21241731,,21242191,2506893.998,960,156000,48100,20140,410340,17200,34,460,183780,950,1260000,15808020,23001604,54390,510890,139960,469930,19942192.03,14870,8637960,720,4779832.998,21242191,5130,155360,769630,30,885800,199810,579350,55586597,175020,9158960,425400,390,882050,150,350,325490,12190,127333086.4,2830,10887,527970,1213090,743390,386850
3,1962,180,652860,1246700,27400,470,11235451,71020,2736690,28470,200,440,7682300,82580,83217,25680,,112760,273600,130170,110630,690,10010,51200,202840,22810,54.00000095,1083300,8358140,430,5270,46722.99805,566730,622980,9093510,1105966,39528.00049,197.9999924,743532.0313,9388250,318000,472710,2267050,341500,1109500,1861.000061,4030,51060,404800,107400,444,240,9240,77270,349130,23180,750,42370,48310,2381740,15928630,33145133,24402270,22639404,27358674,276840,995450,2645872.016,101000,499780,42390,1000000,4210972.016,12937278,304590,18270,547566.0156,1396.000061,,257670,241930,69490,227540,10,245720,10120,28120,28050,128900,340,341700,107160,540,196710,37785398.43,1020,111890,17378481,55910,27560,90020,69459739.03,93411800.03,23952061,5937530,1811570,18014531,570,2973190,,68890,1628760,437370,100250,21640,294110,10830,88240,366700,2699700,569140,191800,176520,810,350,96460,17820,16314090,230800,10230,96320,1759540,610,20071304.43,17771344,14233411,160,62710,19727660,89547668,30360,44547515.03,62680,,62196,20,54.4,446340,2,32870,581540,300,11226270,1943950,,75314257,25430,1220190,320,653540,8643980,13450,1553560,,786380,1030700,2030,94280,328550,18252524,823290,18280,1266700,910770,120340,33760,365243.9844,143000,20,263310,34449546.03,309500,2039233.998,770880,74340,1280000,298260,,452860,306290,17792411,8870,120410,91500,397300,6020,62860,31452908,3660,11610,230340,16389950,24670,4779832.998,2149690,,192530,670,27990,72180,20850,60,627340,87460,21241731,,21242191,2506893.998,960,156000,48100,20140,410340,17200,34,460,183780,950,1260000,15808020,23001604,54390,510890,139960,469930,19942192.03,14870,8637960,720,4779832.998,21242191,5130,155360,769630,30,885800,199810,579350,55586597,175020,9158960,425400,390,882050,150,350,325490,12190,127333066.4,2830,10887,527970,1213090,743390,386850
4,1963,180,652860,1246700,27400,470,11235451,71020,2736690,28470,200,440,7682300,82580,83217,25680,,112760,273600,130170,110630,690,10010,51200,202840,22810,54.00000095,1083300,8358140,430,5270,46722.99805,566730,622980,9093510,1105976,39528.00049,197.9999924,743532.0313,9388250,318000,472710,2267050,341500,1109500,1861.000061,4030,51060,404800,107400,444,240,9240,77270,349130,23180,750,42370,48310,2381740,15928630,33145133,24402270,22639404,27358684,276840,995450,2645872.016,101000,499780,42390,1000000,4210982.016,12937278,304590,18270,547566.0156,1396.000061,,257670,241930,69490,227540,10,245720,10120,28120,28050,128900,340,341700,107160,540,196710,37785408.43,1020,111890,17378481,55910,27560,90030,69459739.03,93411800.03,23952061,5937530,1811570,18014531,570,2973190,,68890,1628760,437370,100250,21640,294110,10830,88240,366700,2699700,569140,191800,176520,810,350,96460,17820,16314090,230800,10230,96320,1759540,610,20071304.43,17771344,14233411,160,62710,19727660,89547668,30360,44547515.03,62680,,62196,20,54.4,446340,2,32870,581540,300,11226270,1943950,,75314257,25430,1220190,320,653540,8643980,13450,1553560,,786380,1030700,2030,94280,328550,18252524,823290,18280,1266700,910770,120340,33760,365243.9844,143000,20,263310,34449556.03,309500,2039233.998,770880,74340,1280000,298260,,452860,306290,17792411,8870,120410,91500,397300,6020,62860,31452918,3660,11610,230340,16389950,24670,4779832.998,2149690,,192530,670,27990,72180,20850,60,627340,87460,21241731,,21242191,2506893.998,960,156000,48100,20140,410340,17200,34,460,183780,950,1260000,15808020,23001604,54390,510890,139960,469930,19942192.03,14870,8637960,720,4779832.998,21242191,5130,155360,769630,30,885800,199810,579350,55586597,175020,9158960,425400,390,882050,150,350,325490,12190,127333076.4,2830,10887,527970,1213090,743390,386850
5,1964,180,652860,1246700,27400,470,11235451,71020,2736690,28470,200,440,7682300,82580,83217,25680,,112760,273600,130170,110630,690,10010,51200,202840,22810,54.00000095,1083300,8358140,430,5270,46722.99805,566730,622980,9093510,1105976,39528.00049,197.9999924,743532.0313,9388250,318000,472710,2267050,341500,1109500,1861.000061,4030,51060,404800,107400,444,240,9240,77270,349130,23180,750,42370,48310,2381740,15928630,33145133,24402270,22639404,27358684,276840,995450,2645872.016,101000,499780,42390,1000000,4210982.016,12937278,304590,18270,547566.0156,1396.000061,,257670,241930,69490,227540,10,245720,10120,28120,28050,128900,340,341700,107160,540,196710,37785408.43,1020,111890,17378481,55910,27560,90030,69459739.03,93411800.03,23952061,5937530,1811570,18014531,570,2973190,,68890,1628760,437370,100250,21640,294110,10830,88240,366700,2699700,569140,191800,176520,810,350,96460,17820,16314090,230800,10230,96320,1759540,610,20071304.43,17771344,14233411,160,62710,19727660,89547668,30360,44547515.03,62680,,62196,20,54.4,446340,2,32870,581540,300,11226270,1943950,,75314257,25430,1220190,320,653540,8643980,13450,1553560,,786380,1030700,2030,94280,328550,18252524,823290,18280,1266700,910770,120340,33760,365243.9844,143000,20,263310,34449556.03,309500,2039233.998,770880,74340,1280000,298260,,452860,306290,17792411,8870,120410,91500,397300,6020,62860,31452918,3660,11610,230340,16389950,24670,4779832.998,2149690,,192530,670,27990,72180,20850,60,627340,87460,21241731,,21242191,2506893.998,960,156000,48100,20140,410340,17200,34,460,183780,950,1260000,15808020,23001604,54390,510890,139960,469930,19942192.03,14870,8637960,720,4779832.998,21242191,5130,155360,769630,30,885800,199810,579350,55586597,175020,9158960,425400,390,882050,150,350,325490,12190,127333076.4,2830,10887,527970,1213090,743390,386850
6,1965,180,652860,1246700,27400,470,11235451,71020,2736690,28470,200,440,7682300,82580,83217,25680,,112760,273600,130170,110630,690,10010,51200,202840,22810,54.00000095,1083300,8358140,430,5270,46722.99805,566730,622980,9093510,1105966,39528.00049,197.9999924,743532.0313,9388250,318000,472710,2267050,341500,1109500,1861.000061,4030,51060,404800,107400,444,240,9240,77270,349130,23180,750,42370,48310,2381740,15928630,33145133,24402270,22639404,27358674,276840,995450,2645872.016,101000,499780,42390,1000000,4210972.016,12937278,304590,18270,547566.0156,1396.000061,,257670,241930,69490,227540,10,245720,10120,28120,28050,128900,340,341700,107160,540,196710,37785398.43,1020,111890,17378481,55910,27560,90020,69459739.03,93411800.03,23952061,5937530,1811570,18014531,570,2973190,,68890,1628760,437370,100250,21640,294110,10830,88240,366700,2699700,569140,191800,176520,810,350,96460,17820,16314090,230800,10230,96320,1759540,610,20071304.43,17771344,14233411,160,62710,19727660,89547668,30360,44547515.03,62680,,62196,20,54.4,446340,2,32870,581540,300,11226270,1943950,,75314257,25430,1220190,320,653540,8643980,13450,1553560,,786380,1030700,2030,94280,328550,18252524,823290,18280,1266700,910770,120340,33760,365243.9844,143000,20,263310,34449546.03,309500,2039233.998,770880,74340,1280000,298260,,452860,306290,17792411,8870,120410,91500,397300,6020,62860,31452908,3660,11610,230340,16389950,24670,4779832.998,2149690,,192530,670,27990,72180,20850,60,627340,87460,21241731,,21242191,2506893.998,960,156000,48100,20140,410340,17200,34,460,183780,950,1260000,15808020,23001604,54390,510890,139960,469930,19942192.03,14870,8637960,720,4779832.998,21242191,5130,155360,769630,30,885800,199810,579350,55586597,175020,9158960,425400,390,882050,150,350,325490,12190,127333066.4,2830,10887,527970,1213090,743390,386850
7,1966,180,652860,1246700,27400,470,11235451,71020,2736690,28470,200,440,7682300,82580,83217,25680,,112760,273600,130170,110630,690,10010,51200,202840,22810,54.00000095,1083300,8358140,430,5270,46722.99805,566730,622980,9093510,1105956,39528.00049,197.9999924,743532.0313,9388250,318000,472710,2267050,341500,1109500,1861.000061,4030,51060,404800,107400,444,240,9240,77270,349130,23180,750,42370,48310,2381740,15928630,33145133,24402270,22639404,27358664,276840,995450,2645872.016,101000,499780,42390,1000000,4210962.016,12937278,304590,18270,547566.0156,1396.000061,,257670,241930,69490,227540,10,245720,10120,28120,28050,128900,340,341700,107160,540,196710,37785388.43,1020,111890,17378481,55910,27560,90010,69459739.03,93411800.03,23952061,5937530,1811570,18014531,570,2973190,,68890,1628760,437370,100250,21640,294110,10830,88240,366700,2699700,569140,191800,176520,810,350,96460,17820,16314090,230800,10230,96320,1759540,610,20071304.43,17771344,14233411,160,62710,19727660,89547668,30360,44547515.03,62680,,62196,20,54.4,446340,2,32870,581540,300,11226270,1943950,,75314257,25430,1220190,320,653540,8643980,13450,1553560,,786380,1030700,2030,94280,328550,18252524,823290,18280,1266700,910770,120340,33760,365243.9844,143000,20,263310,34449536.03,309500,2039233.998,770880,74340,1280000,298260,,452860,306290,17792411,8870,120410,91500,397300,6020,62860,31452898,3660,11610,230340,16389950,24670,4779832.998,2149690,,192530,670,27990,72180,20850,60,627340,87460,21241731,,21242191,2506893.998,960,156000,48100,20140,410340,17200,34,460,183780,950,1260000,15808020,23001604,54390,510890,139960,469930,19942192.03,14870,8637960,720,4779832.998,21242191,5130,155360,769630,30,885800,199810,579350,55586597,175020,9158960,425400,390,882050,150,350,325490,12190,127333056.4,2830,10887,527970,1213090,743390,386850
8,1967,180,652860,1246700,27400,470,11235451,71020,2736690,28470,200,440,7682300,82580,83217,25680,,112760,273600,130170,110630,690,10010,51200,202840,22810,54.00000095,1083300,8358140,430,5270,46722.99805,566730,622980,9093510,1105946,39528.00049,197.9999924,743532.0313,9388250,318000,472710,2267050,341500,1109500,1861.000061,4030,51060,404800,107400,444,240,9240,77270,349130,23180,750,42370,48310,2381740,15928630,33145133,24402270,22639404,27358654,276840,995450,2645872.016,101000,499780,42390,1000000,4210952.016,12937278,304590,18270,547566.0156,1396.000061,,257670,241930,69490,227540,10,245720,10120,28120,28050,128900,340,341700,107160,540,196710,37785378.43,1020,111890,17378481,55910,27560,90000,69459739.03,93411800.03,23952061,5937530,1811570,18014531,570,2973190,,68890,1628760,437370,100250,21640,294110,10830,88240,366700,2699700,569140,191800,176520,810,350,96460,17820,16314090,230800,10230,96320,1759540,610,20071304.43,17771344,14233411,160,62710,19727660,89547668,30360,44547515.03,62680,,62196,20,54.4,446340,2,32870,581540,300,11226270,1943950,,75314257,25430,1220190,320,653540,8643980,13450,1553560,,786380,1030700,2030,94280,328550,18252524,823290,18280,1266700,910770,120340,33760,365243.9844,143000,20,263310,34449526.03,309500,2039233.998,770880,74340,1280000,298260,,452860,306290,17792411,8870,120410,91500,397300,6020,62860,31452888,3660,11610,230340,16389950,24670,4779832.998,2149690,,192530,670,27990,72180,20850,60,627340,87460,21241731,,21242191,2506893.998,960,156000,48100,20140,410340,17200,34,460,183780,950,1260000,15808020,23001604,54390,510890,139960,469930,19942192.03,14870,8637960,720,4779832.998,21242191,5130,155360,769630,30,885800,199810,579350,55586597,175020,9158960,425400,390,882050,150,350,325490,12190,127333046.4,2830,10887,527970,1213090,743390,386850
9,1968,180,652860,1246700,27400,470,11235451,71020,2736690,28470,200,440,7682300,82580,83217,25680,,112760,273600,130170,110630,690,10010,51200,202840,22810,54.00000095,1083300,8358140,430,5270,46722.99805,566730,622980,9093510,1105936,39528.00049,197.9999924,743532.0313,9388250,318000,472710,2267050,341500,1109500,1861.000061,4030,51060,404800,107400,444,240,9240,77270,349130,23180,750,42370,48310,2381740,15928630,33145133,24402270,22639404,27358644,276840,995450,2645872.016,101000,499780,42390,1000000,4210942.016,12937278,304590,18270,547566.0156,1396.000061,,257670,241930,69490,227540,10,245720,10120,28120,28050,128900,340,341700,107160,540,196710,37785368.43,1020,111890,17378481,55910,27560,89990,69459739.03,93411800.03,23952061,5937530,1811570,18014531,570,2973190,,68890,1628760,437370,100250,21640,294110,10830,88240,366700,2699700,569140,191800,176520,810,350,96460,17820,16314090,230800,10230,96320,1759540,610,20071304.43,17771344,14233411,160,62710,19727660,89547668,30360,44547515.03,62680,,62196,20,54.4,446340,2,32870,581540,300,11226270,1943950,,75314257,25430,1220190,320,653540,8643980,13450,1553560,,786380,1030700,2030,94280,328550,18252524,823290,18280,1266700,910770,120340,33760,365243.9844,143000,20,263310,34449516.03,309500,2039233.998,770880,74340,1280000,298260,,452860,306290,17792411,8870,120410,91500,397300,6020,62860,31452878,3660,11610,230340,16389950,24670,4779832.998,2149690,,192530,670,27990,72180,20850,60,627340,87460,21241731,,21242191,2506893.998,960,156000,48100,20140,410340,17200,34,460,183780,950,1260000,15808020,23001604,54390,510890,139960,469930,19942192.03,14870,8637960,720,4779832.998,21242191,5130,155360,769630,30,885800,199810,579350,55586597,175020,9158960,425400,390,882050,150,350,325490,12190,127333036.4,2830,10887,527970,1213090,743390,386850
10,1969,180,652860,1246700,27400,470,11235451,71020,2736690,28470,200,440,7682300,82580,83217,25680,,112760,273600,130170,110630,690,10010,51200,202840,22810,54.00000095,1083300,8358140,430,5270,46722.99805,566730,622980,9093510,1105936,39528.00049,197.9999924,743532.0313,9388250,318000,472710,2267050,341500,1109500,1861.000061,4030,51060,404800,107400,444,240,9240,77270,349130,23180,750,42370,48310,2381740,15928630,33145133,24402270,22639404,27358644,276840,995450,2645872.016,101000,499780,42390,1000000,4210942.016,12937278,304590,18270,547566.0156,1396.000061,,257670,241930,69490,227540,10,245720,10120,28120,28050,128900,340,341700,107160,540,196710,37785368.43,1020,111890,17378481,55910,27560,89990,69459739.03,93411800.03,23952061,5937530,1811570,18014531,570,2973190,,68890,1628760,437370,100250,21640,294110,10830,88240,366700,2699700,569140,191800,176520,810,350,96460,17820,16314090,230800,10230,96320,1759540,610,20071304.43,17771344,14233411,160,62710,19727660,89547668,30360,44547515.03,62680,,62196,20,54.4,446340,2,32870,581540,300,11226270,1943950,,75314257,25430,1220190,320,653540,8643980,13450,1553560,,786380,1030700,2030,94280,328550,18252524,823290,18280,1266700,910770,120340,33760,365243.9844,143000,20,263310,34449516.03,309500,2039233.998,770880,74340,1280000,298260,,452860,306290,17792411,8870,120410,91500,397300,6020,62860,31452878,3660,11610,230340,16389950,24670,4779832.998,2149690,,192530,670,27990,72180,20850,60,627340,87460,21241731,,21242191,2506893.998,960,156000,48100,20140,410340,17200,34,460,183780,950,1260000,15808020,23001604,54390,510890,139960,469930,19942192.03,14870,8637960,720,4779832.998,21242191,5130,155360,769630,30,885800,199810,579350,55586597,175020,9158960,425400,390,882050,150,350,325490,12190,127333036.4,2830,10887,527970,1213090,743390,386850
