Index,Year,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1,1960,64.084,31.58,31.787,61.309,,45.77687922,49.677,62.417,62.822,,59.512,67.78571429,65.41,57.555,39.698,66.78,36.823,33.454,45.523,67.55,48.95,60.791,58.68,65.032,58.656,,40.831,52.434,58.56,61.095,34.019,48.757,34.948,68.26,65.41104138,68.65,67.811,54.604,42.433,35.909,40.234,39.64,47.366,55.047,39.96,47.693,59.224,60.47367987,62.271,,,67.631,67.5,66.751,42.732,,70.44,50.396,45.44,44.2183667,44.7900197,46.75315758,59.86253437,64.09689727,51.955,46.822,66.62280466,36.973,66.68,63.979,36.974,66.68183689,39.34937245,65.41,53.978,66.6,,57.05,38.035,68.2,59.686,45.53,,33.762,30.851,36.338,35.255,65.9,58.013,,46.08,59.12,57.748,65.6121101,63.409,44.621,38.31960473,62.095,40.804,65.93,47.21778992,46.14532004,40.76074385,42.4186353,47.293,39.95249175,,41.89,,67.977,45.706,48.478,71.15,,66.68,62.711,52.456,65.31,53.231,44.479,52.011,39.613,47.095,,50.614,59.211,52.89219081,41.543,61.565,32.43,41.449,53.754,54.21915573,39.09045181,38.11624062,,57.343,44.87123686,45.7291199,44.859,48.06173048,66.94,65.362,66.26,62.996,,47.152,,58.024,39.042,37.204,46.05275847,55.091,,46.324539,60.195,27.436,66.767,39.872,46.0465769,62.51,46.161,,33.692,43.067,56.954,37.239,58.669,66.75254643,44.758,56.2,34.547,35.575,45.712,71.5,71.34,35.044,,68.7,64.60254186,41.87,49.32257207,45.105,59.87,46.455,56.609,,40.303,64.9,37.54788403,66.084,48.424,60.086,61.862,,51.92941646,65.99302191,54.899,59.212,63.86,62.067,40.701,42.44616563,43.677,46.793,37.466,62.293,48.65,28.773,47.705,,35.481,,38.98988745,30.371,38.98988745,52.72602537,49.006,57.905,67.75,66.1,71.23,42.33,,,50.671,,35.956,44.16914103,60.40991341,39.366,52.452,53.795,50.966,53.79602167,33.182,46.0465769,61.026,42.44616563,38.98988745,61.081,41.06,42.481,,42.009,42.446,65.641,47.52003843,64.852,66.6,55.116,55.813,57.69,,64.699,55.628,45.067,50.73780802,46.75,,33.236,50.096,43.622,49.981
2,1961,64.429,32.026,32.098,62.272,,46.36132041,50.776,62.459,63.24,,59.912,67.9,66.47,57.752,40.004,67.56,37.233,33.904,46.155,68.42,50.423,61.073,59.298,65.519,59.224,,41.151,52.877,59.039,61.667,34.356,49.133,35.344,68.39,65.7708674,68.84,67.871,54.936,42.767,36.566,40.679,39.855,47.972,55.577,40.361,47.867,59.931,60.94654146,62.894,,,67.961,67.62,66.908,43.165,,70.57,51.108,45.883,44.6635713,45.4486161,47.2734231,60.36807556,64.41911139,52.552,47.325,66.93875762,37.609,67.1,64.433,37.614,66.9457103,39.88084979,65.61,54.442,66.8,,57.449,38.39,68,60.086,45.935,,33.966,31.131,36.635,35.552,66.274,58.43,,46.552,59.617,57.946,65.95784558,63.999,45.279,38.74914017,62.396,41.382,66.78,47.73812302,46.65834945,41.30713297,43.08801239,47.942,40.43967835,,42.51,,68.109,46.167,49.757,70.84,70.47,67.17,63.277,53.152,65.91,53.645,45.073,52.449,39.705,47.631,,51.266,59.94,53.40506334,41.869,61.865,32.737,43.034,54.498,54.65837164,39.56527956,38.52181171,,57.709,45.47220401,46.25382015,45.344,48.54595402,66.81,65.627,66.33,63.437,,47.709,,58.444,39.527,37.851,47.10410273,55.662,,46.86457937,60.785,27.548,67.077,40.564,46.61346703,63.183,47.118,,34.137,43.681,57.963,37.444,59.25,67.21884194,45.399,56.6,34.631,36.041,46.352,71.56,71.17,35.407,,68.4,64.97035859,42.652,49.78658877,46.049,60.358,46.97,56.913,,40.733,64.9,37.99977985,66.23,48.708,60.487,62.089,,52.41500522,66.36648339,55.29,60.041,64.591,62.578,40.999,43.08550481,44.19,47.213,37.613,62.755,49.15,29.018,48.383,,35.874,,39.42647075,30.795,39.42647075,53.19223517,49.575,58.247,68.025,66.1,71.65,42.63,,,51.257,,36.304,44.61505191,60.85821719,39.976,52.962,54.207,51.379,54.23606798,33.68,46.61346703,61.361,43.08550481,39.42647075,61.604,41.686,43.244,,42.259,43.021,66.078,48.03243454,65.064,67.1,55.486,56.873,58.225,,64.967,56.212,45.672,51.23652243,47.25,,33.343,50.458,44.008,50.353
3,1962,64.747,32.466,32.428,63.117,,46.93945542,51.876,62.477,63.664,,60.3,67.84,66.29,57.94,40.316,67.4,37.642,34.361,46.782,67.77,51.891,61.349,59.879,65.909,59.808,,41.479,53.313,59.523,62.212,34.735,49.496,35.75,68.45,65.4877027,68.44,67.934,55.294,43.473,37.207,41.124,40.072,48.542,56.068,40.768,48.123,60.615,61.38436145,63.527,,,68.281,66.86,67.053,43.592,,70.31,51.809,46.325,45.36083791,46.04888589,47.92532721,60.73868922,64.46603489,53.109,47.787,66.85106092,38.213,67.08,64.802,38.225,66.8226722,40.43390682,65.09,54.896,66.9,,57.847,38.834,68,60.488,46.324,,34.156,31.465,36.956,35.849,66.603,58.833,,47.037,60.107,58.147,65.90313228,64.565,45.931,39.17212959,62.678,41.956,65.7,48.32911328,47.23554425,41.85198315,43.73635139,48.578,40.93458939,,43.134,,68.217,46.618,50.993,71.4,70.6,66.54,63.802,53.844,66.19,54.062,45.662,52.889,39.835,48.166,,51.929,60.629,53.89529439,42.195,62.157,33.099,44.639,55.217,55.07771319,40.04988274,38.92923089,,58.105,46.0649673,46.85163194,45.752,49.16368354,65.91,65.863,65.85,63.864,,48.251,,58.872,40.01,38.529,47.66797533,56.17,,47.47981653,61.359,27.707,67.384,41.346,47.17189542,63.818,48.042,,34.563,44.274,58.843,37.641,59.804,67.04308972,46.032,57,34.711,36.492,46.991,71.08,70.97,35.825,,68.5,64.93854472,43.421,50.25362268,46.953,60.831,47.464,57.203,,41.21,64.5,38.44644824,66.363,48.998,60.88,62.303,,52.89632536,66.33319576,55.637,60.871,65.152,62.958,41.286,43.72573247,44.715,47.626,37.686,63.142,49.65,29.264,49.006,,36.27,,39.85493889,31.216,39.85493889,53.65005461,50.129,58.586,68.184,66.1,71.37,42.918,,,51.854,,36.655,45.31691324,61.14711475,40.579,53.454,54.622,51.795,54.65444961,34.181,47.17189542,61.689,43.72573247,39.85493889,62.048,42.369,44.025,,42.512,43.609,66.41,48.67677765,65.242,66.9,55.861,57.886,58.743,,65.225,56.772,46.276,51.65044407,47.75,,33.602,50.815,44.38,50.714
4,1963,65.053,32.903,32.774,63.811,,47.51437678,52.975,62.485,64.092,,60.676,67.78,66.39,58.127,40.63,67.11,38.05,34.826,47.389,68.68,53.331,61.619,60.429,66.215,60.408,,41.815,53.738,60.013,62.724,35.161,49.85,36.174,68.41,66.11666615,68.29,68.006,55.68,44.596,37.827,41.566,40.298,49.073,56.531,41.175,48.471,61.26,61.78413369,64.169,,,68.592,67.28,67.184,44.013,,70.42,52.498,46.764,46.34345126,46.58962927,48.85712119,61.07396393,64.69164824,53.618,48.22,66.96617466,38.769,67.13,65.096,38.79,67.02332563,41.01464211,65.52,55.339,67.1,,58.245,39.383,67.9,60.892,46.696,,34.332,31.866,37.302,36.145,66.874,59.223,,47.536,60.587,58.347,66.04968184,65.1,46.569,39.58729696,62.943,42.524,66.64,49.04665229,47.92213361,42.39336767,44.36040161,49.2,41.43608122,,43.762,,68.31,47.061,52.186,70.16,,66.57,64.287,54.533,67.18,54.481,46.24,53.331,39.994,48.689,,52.602,61.277,54.36172976,42.521,62.441,33.524,46.205,55.893,55.47789286,40.54295625,39.34813078,,58.551,46.64861799,47.54703784,46.076,49.99851568,66.78,66.066,66.19,64.278,,48.765,,59.304,40.491,39.232,47.7453612,56.619,,48.19635352,61.92,27.932,67.686,42.24,47.72497762,64.399,48.899,,34.97,44.841,59.564,37.83,60.328,66.76758122,46.655,57.4,34.788,36.922,47.631,71.02,70.78,36.292,,68.5,65.10091439,44.177,50.66241351,47.815,61.288,47.935,57.477,,41.751,65.4,38.88767511,66.516,49.427,61.264,62.493,,53.37033839,66.48381862,55.969,61.7,65.504,63.216,41.558,44.36580964,45.262,48.035,37.693,63.453,50.15,29.52,49.567,,36.669,,40.27371228,31.638,40.27371228,54.05837436,50.666,58.929,68.232,65.5,71.57,43.203,,,52.468,,37.01,46.3064818,61.53717865,41.176,53.928,55.039,52.214,55.05176488,34.683,47.72497762,62.009,44.36580964,40.27371228,62.397,43.112,44.815,,42.772,44.203,66.646,49.50462449,65.378,66.6,56.24,58.818,59.239,,65.485,57.284,46.879,52.16080146,48.25,,34.038,51.176,44.738,51.062
5,1964,65.356,33.338,33.136,64.346,,48.0861886,54.069,62.499,64.522,,61.042,67.72,66.8,58.316,40.941,67.76,38.458,35.297,47.949,69.37,54.721,61.883,60.954,66.447,61.018,,42.159,54.152,60.508,63.201,35.634,50.199,36.62,68.63,66.46995228,69.19,68.091,56.095,46.116,38.429,42.005,40.538,49.564,56.972,41.581,48.912,61.859,62.14709444,64.814,,,68.894,67.44,67.302,44.434,,70.29,53.173,47.198,47.61994775,47.17965681,49.99800074,61.32559442,65.04215394,54.079,48.631,67.37678684,39.273,67.79,65.327,39.3,67.44250495,41.62156234,65.66,55.773,67.2,,58.643,40.042,68.6,61.294,47.048,,34.498,32.343,37.672,36.441,67.087,59.601,,48.05,61.056,58.544,66.40038065,65.599,47.187,39.994469,63.192,43.082,67.02,49.88148925,48.70389459,42.92697973,44.96071786,49.811,41.93769057,,44.395,,68.393,47.502,53.33,70.81,,67.58,64.737,55.219,67.63,54.898,46.805,53.772,40.15,49.195,,53.287,61.887,54.80640827,42.847,62.719,34.01,47.686,56.515,55.86168398,41.03810371,39.78506513,,59.054,47.2217213,48.34643495,46.321,51.05538283,68.27,66.233,67.35,64.685,,49.242,,59.732,40.972,39.953,48.30218843,57.019,,49.02429511,62.468,28.233,67.981,43.239,48.27432098,64.919,49.67,,35.359,45.376,60.113,38.017,60.823,66.97006969,47.264,57.8,34.862,37.33,48.271,71.27,71.23,36.805,,68.5,65.46458272,44.92,51.0827438,48.638,61.729,48.39,57.736,,42.36,65.8,39.32461083,66.705,50.07,61.638,62.659,,53.8360372,66.84164023,56.305,62.526,65.648,63.367,41.812,45.00464338,45.842,48.439,37.655,63.699,50.65,29.806,50.065,,37.07,,40.68258605,32.062,40.68258605,54.46127564,51.185,59.277,68.184,65.2,71.66,43.495,,,53.103,,37.373,47.59070381,61.80258874,41.768,54.384,55.455,52.632,55.43184852,35.183,48.27432098,62.321,45.00464338,40.68258605,62.647,43.918,45.599,,43.046,44.792,66.797,50.54815242,65.469,66.8,56.621,59.647,59.712,,65.755,57.713,47.48,52.81291019,48.75,,34.648,51.54,45.086,51.398
6,1965,65.66,33.771,33.511,64.723,,48.65140567,55.149,62.536,64.953,,61.399,67.66,66.61,58.511,41.236,67.64,38.861,35.768,48.385,69.45,56.043,62.142,61.466,66.614,61.631,65.61,42.511,54.553,61.002,63.644,36.152,50.554,37.1,68.76,66.65613053,69.47,68.189,56.543,47.956,39.021,42.442,40.8,50.016,57.389,41.985,49.426,62.406,62.47349185,65.454,,,69.188,67.09,67.405,44.873,,70.2,53.832,47.62,49.12536089,47.76078089,51.30345658,61.49438796,65.15323746,54.494,49.016,67.43384015,39.722,68.18,65.503,39.754,67.52659726,42.24710754,65.29,56.197,67.3,,59.042,40.8,68.6,61.688,47.373,,34.656,32.901,38.061,36.737,67.258,59.966,,48.583,61.514,58.734,66.48680439,66.058,47.782,40.39539627,63.434,43.624,66.72,50.81537474,49.56400859,43.44094138,45.53864635,50.414,42.4211999,,45.034,,68.469,47.954,54.408,71.42,,67.44,65.151,55.899,67.68,55.31,47.359,54.206,40.306,49.689,,53.992,62.46,55.23163682,43.174,62.995,34.548,49.051,57.085,56.23294286,41.51609963,40.24246924,,59.607,47.77661028,49.22239542,46.5,52.29730576,68.13,66.362,66.79,65.091,,49.68,,60.141,41.453,40.688,48.8557803,57.382,,49.93364395,63.001,28.619,68.269,44.302,48.81873855,65.38,50.353,,35.738,45.88,60.49,38.217,61.29,66.982998,47.848,58.2,34.933,37.72,48.916,71.12,71.05,37.353,,68.3,65.5645773,45.649,51.47194751,49.422,62.155,48.852,57.984,,43.026,66.6,39.75999494,66.941,50.945,62.008,62.8,,54.29160611,66.90140152,56.659,63.345,65.632,63.433,42.038,45.63591564,46.474,48.843,37.603,63.898,51.15,30.168,50.505,,37.473,,41.08360492,32.485,41.08360492,54.83112071,51.698,59.627,68.058,65,71.73,43.811,,,53.765,,37.752,49.1036628,62.03311824,42.353,54.827,55.866,53.045,55.79896489,35.719,48.81873855,62.627,45.63591564,41.08360492,62.802,44.791,46.361,,43.338,45.359,66.871,51.75704212,65.519,66.8,56.999,60.367,60.165,,66.041,57.948,48.076,53.45707397,49.25,,35.409,51.905,45.433,51.723
7,1966,65.959,34.204,33.897,64.962,,49.20132991,56.203,62.612,65.384,,61.748,67.6,66.88,58.712,41.498,67.76,39.255,36.231,48.605,69.36,57.287,62.395,61.975,66.719,62.239,,42.87,54.944,61.484,64.057,36.705,50.924,37.623,68.78,66.83760084,69.56,68.293,57.022,49.992,39.619,42.879,41.092,50.435,57.777,42.39,49.98,62.904,62.76576514,66.079,,,69.474,67.18,67.488,45.354,,70.21,54.475,48.023,50.75980457,48.37977059,52.77642465,61.60468719,65.31572797,54.873,49.36,67.68709642,40.124,68.46,65.629,40.155,67.71888869,42.87840385,65.96,56.614,67.4,,59.445,41.634,68.5,62.069,47.66,,34.806,33.542,38.461,37.034,67.416,60.32,,49.135,61.96,58.908,66.70889151,66.475,48.354,40.79231871,63.674,44.143,67.52,51.79093057,50.45327664,43.92118016,46.0978741,51.014,42.86399973,,45.679,,68.536,48.431,55.403,70.32,70.91,68.17,65.531,56.574,68.45,55.712,47.909,54.63,40.468,50.18,,54.726,62.997,55.64259697,43.502,63.27,35.124,50.291,57.614,56.59721635,41.95227527,40.71767167,,60.195,48.30350119,50.13509187,46.633,53.61778378,68.13,66.453,67,65.508,,50.08,,60.515,41.936,41.433,49.85514983,57.722,,50.88106344,63.514,29.09,68.551,45.364,49.35307751,65.794,50.967,,36.116,46.352,60.707,38.448,61.731,66.89543772,48.39,58.6,35.003,38.098,49.573,71.03,71.41,37.927,,68.1,65.79660576,46.358,51.79674535,50.171,62.567,49.348,58.226,,43.73,66.9,40.19721996,67.215,52.01,62.377,62.925,,54.73982924,67.09876258,57.031,64.155,65.538,63.433,42.228,46.25128158,47.177,49.248,37.57,64.074,51.65,30.657,50.901,,37.875,,41.47887694,32.902,41.47887694,55.14778045,52.219,59.97,67.875,65.5,71.82,44.165,,,54.46,,38.156,50.74489664,62.16133504,42.934,55.261,56.267,53.448,56.15943879,36.336,49.35307751,62.931,46.25128158,41.47887694,62.877,45.733,47.085,,43.649,45.884,66.878,53.05594224,65.533,66.7,57.371,60.984,60.601,,66.34,57.863,48.668,54.16950823,49.75,,36.275,52.262,45.796,52.036
8,1967,66.242,34.636,34.292,65.116,,49.73292592,57.219,62.731,65.81,,62.091,67.64,66.63,58.914,41.721,67.93,39.637,36.681,48.576,68.37,58.458,62.643,62.487,66.768,62.83,,43.237,55.325,61.948,64.45,37.278,51.318,38.191,68.92,66.48606301,69.7,68.396,57.532,52.062,40.235,43.319,41.411,50.827,58.129,42.799,50.542,63.367,63.03152031,66.682,,,69.751,67.03,67.554,45.888,,70.61,55.099,48.408,52.40423872,48.92595913,54.21942232,61.65616424,65.38585801,55.233,49.658,67.78739552,40.495,68.57,65.707,40.517,67.78762742,43.49855705,65.93,57.022,67.6,,59.851,42.506,69.1,62.432,47.905,,34.956,34.254,38.864,37.334,67.591,60.663,,49.702,62.395,59.063,66.90021139,66.857,48.913,41.18752793,63.918,44.634,66.89,52.75855557,51.32705962,44.35842515,46.6414206,51.611,43.2507237,,46.328,,68.591,48.941,56.301,71.11,69.9,68.22,65.879,57.243,68.74,56.099,48.462,55.039,40.581,50.681,,55.488,63.502,56.043475,43.832,63.544,35.719,51.437,58.124,56.95824539,42.32965419,41.2013032,,60.787,48.79668152,51.04018683,46.753,54.93517442,67.96,66.515,66.75,65.942,,50.457,,60.843,42.421,42.193,50.36681788,58.053,,51.82060573,64.003,29.631,68.827,46.351,49.87587762,66.18,51.541,,36.501,46.8,60.808,38.721,62.151,67.18160896,48.886,59,35.075,38.474,50.241,71.17,71.33,38.515,,68.4,65.99734394,47.05,52.13795665,50.885,62.97,49.9,58.467,,44.444,66.4,40.63827557,67.504,53.142,62.75,63.045,,55.18152111,67.30482863,57.409,64.949,65.463,63.386,42.384,46.84461475,47.96,49.652,37.595,64.255,52.15,31.296,51.262,,38.274,,41.87120347,33.309,41.87120347,55.46584358,52.761,60.296,67.66,66,71.82,44.565,,,55.188,,38.587,52.39540332,62.15861111,43.508,55.693,56.654,53.837,56.51767618,37.031,49.87587762,63.237,46.84461475,41.87120347,62.905,46.741,47.768,,43.976,46.352,66.826,54.37069039,65.526,67,57.731,61.526,61.025,,66.646,57.424,49.255,54.86105034,50.25,,37.188,52.597,46.183,52.343
9,1968,66.503,35.069,34.693,65.233,,50.24816524,58.188,62.893,66.22,,62.427,67.68,66.76,59.111,41.907,67.62,40.008,37.118,48.318,69.23,59.559,62.886,63.003,66.768,63.396,,43.61,55.696,62.386,64.831,37.86,51.743,38.803,69.09,66.64195735,69.8,68.495,58.069,54.022,40.881,43.767,41.752,51.2,58.447,43.214,51.095,63.809,63.27948066,67.256,,,70.022,66.47,67.609,46.477,,70.78,55.704,48.781,53.94934057,49.45247829,55.57478867,61.74227483,65.40051075,55.59,49.916,67.79420532,40.851,68.85,65.74,40.851,67.78580293,44.09486828,65.87,57.422,67.7,,60.261,43.386,68.7,62.775,48.113,,35.115,35.021,39.265,37.635,67.805,60.995,,50.277,62.82,59.195,66.73043704,67.212,49.47,41.58330905,64.166,45.094,66.64,53.7036529,52.17394616,44.75045386,47.17181564,52.207,43.57656652,,46.978,,68.636,49.494,57.094,71.64,69.32,67.98,66.202,57.904,69.06,56.468,49.024,55.43,40.547,51.193,,56.268,63.979,56.43803265,44.163,63.816,36.32,52.512,58.635,57.31951163,42.64171593,41.68555702,,61.358,49.25608222,51.90369528,46.888,56.20141514,67.66,66.561,65.76,66.396,,50.824,,61.115,42.908,42.969,50.87335314,58.387,,52.71556228,64.461,30.225,69.099,47.21,50.39009005,66.552,52.095,,36.898,47.231,60.839,39.043,62.557,66.294024,49.337,59.4,35.155,38.857,50.915,70.92,71.22,39.109,,68.1,65.84407193,47.732,52.46812659,51.565,63.368,50.517,58.704,,45.147,67,41.08445219,67.79,54.243,63.128,63.167,,55.61685696,67.10977694,57.782,65.719,65.481,63.308,42.51,47.41366009,48.825,50.051,37.713,64.463,52.65,32.085,51.595,,38.669,,42.26342861,33.702,42.26342861,55.76918748,53.333,60.6,67.44,65.6,71.69,45.016,,,55.944,,39.045,53.94580415,62.29632357,44.077,56.126,57.024,54.206,56.87730849,37.761,50.39009005,63.543,47.41366009,42.26342861,62.918,47.804,48.409,,44.316,46.755,66.726,55.63095719,65.515,66,58.076,62.014,61.44,,66.952,56.675,49.838,55.43561392,50.75,,38.1,52.9,46.595,52.646
10,1969,66.745,35.505,35.096,65.346,,50.75433774,59.105,63.099,66.602,,62.757,67.72,66.56,59.301,42.065,67.56,40.368,37.547,47.887,68.23,60.589,63.124,63.524,66.731,63.927,,43.991,56.056,62.797,65.205,38.442,52.203,39.457,69.16,66.31850268,69.72,68.589,58.631,55.794,41.556,44.223,42.107,51.557,58.739,43.637,51.638,64.239,63.51536665,67.798,,,70.285,65.85,67.658,47.11,,70.86,56.287,49.152,55.34050822,49.96233304,56.81849564,61.76069526,65.34052654,55.954,50.153,67.74620403,41.2,68.36,65.732,41.161,67.68143284,44.66203661,65.64,57.813,67.8,,60.675,44.256,68.6,63.098,48.291,,35.293,35.831,39.66,37.939,68.061,61.316,,50.852,63.235,59.303,66.95135688,67.547,50.03,41.9801193,64.416,45.524,66.7,54.55784964,52.93870085,45.10058008,47.68865351,52.801,43.84615004,,47.627,,68.673,50.092,57.786,71.23,69.19,67.89,66.507,58.555,69.19,56.815,49.595,55.799,40.249,51.71,,57.051,64.431,56.82896301,44.495,64.085,36.921,53.524,59.156,57.68352845,42.89241628,42.1657336,,61.899,49.68673708,52.69526692,47.057,57.31924584,67.07,66.599,65.27,66.872,,51.186,,61.329,43.395,43.763,51.39289459,58.734,,53.53309956,64.883,30.863,69.367,47.924,50.90162309,66.913,52.628,,37.308,47.652,60.828,39.412,62.95,67.0254283,49.751,59.8,35.248,39.252,51.583,70.92,70.8,39.7,,68.4,66.05412393,48.415,52.78010414,52.209,63.762,51.198,58.934,,45.832,66.5,41.53517481,68.067,55.277,63.512,63.295,,56.04525672,67.31793086,58.151,66.458,65.612,63.212,42.613,47.9608047,49.769,50.44,37.952,64.714,53.15,33.006,51.898,,39.059,,42.65652446,34.081,42.65652446,56.05514887,53.935,60.878,67.234,64.8,71.68,45.519,,,56.722,,39.522,55.34127659,62.26429805,44.64,56.564,57.375,54.552,57.24087093,38.452,50.90162309,63.849,47.9608047,42.65652446,62.935,48.91,49.009,,44.671,47.085,66.59,56.77006183,65.51,66.8,58.403,62.455,61.847,,67.257,55.713,50.416,56.05762723,51.25,,38.988,53.166,47.028,52.951
