Index,Year,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1,1960,49.224,91.599,89.565,69.295,41.55,68.70802595,26.5,26.389,48.725,33.789,60.344,18.471,35.28,47.337,97.923,7.54,90.725,95.3,94.865,62.9,17.68,40.288,80.96,67.599,45.972,0,63.238,53.861,63.223,56.599,96.404,96.94,79.9,30.939,55.49210729,29.076,61.3,32.164,83.797,82.321,86.063,77.7,68.399,53.732,87.449,83.321,65.746,65.00983939,41.599,25.29,0,64.372,40.452,28.616,49.675,62.154,26.313,69.809,69.49,83.07919028,77.04925617,77.42057269,55.07488504,44.45430768,66.122,62.136,37.90985301,90.201,43.433,42.467,93.567,38.791523,82.59412258,44.71,70.319,38.12,78.617,77.688,82.602,21.556,56.931,76.748,0,89.528,87.871,86.4,74.463,44.064,69.668,41.466,68.879,49.853,70.991,36.22931794,14.8,77.253,87.64081994,69.846,84.407,44.089,73.98722347,76.02556654,86.26889437,81.25593129,85.414,88.65936411,44.877,82.076,,54.816,66.265,57.101,19.7,23.152,40.639,66.231,49.121,36.728,55.802,92.638,65.819,89.715,83.71,72.356,72.29,25.107,54.27842433,92.054,57.657,81.368,72.677,78.54,50.56613404,90.34034585,87.2345031,79.563,83.569,80.38439755,76.84172777,96.488,73.78259981,60.54,30.444,47.133,4.711,,70.643,0,76.576,89.358,88.827,65.03837084,49.247,64.416,76.01147178,65.98,88.934,9.871,80.774,66.11737265,81.212,64.321,48.781,93.132,93.12,64.889,95.61,73.402,30.08159744,82.091,62.64,94.207,84.59,60.419,40.248,50.08,96.52,0,24.002,37.49064596,83.6,72.66702785,77.896,58.751,53.189,69.703,43.177,96.275,52.108,86.54829469,55.453,59.805,65.045,64.431,,77.55687632,36.73452966,57.719,14.725,65.791,46.269,97.4,83.26214668,68.75,89.254,77,0,94.232,82.648,61.646,51.1,82.688,,85.28512795,91.252,85.28276405,70.70961608,83.927,52.74,66.536,71.796,27.51,96.087,0,72.327,63.193,52.321,93.305,83.38115468,54.98788802,89.902,80.328,66.832,53.588,50.82407869,89.909,66.11737265,82.448,83.26214668,85.28276405,65.845,62.489,68.485,84.105,94.754,95.583,53.208,72.46302132,19.759,30.004,66.022,74.057,38.387,87.772,43.523,85.3,89.596,66.38365652,81.074,,90.9,53.381,81.855,87.392
2,1961,49.239,91.316,89.202,69.057,39.017,67.96557955,25.617,25.783,47.853,33.359,60.96,18.059,35.186,47.636,97.885,7.446,90.144,95.204,94.722,61.218,17.663,39.546,80.314,66.478,46.28,0,62.941,52.878,63.151,54.772,96.208,96.903,79.249,30.332,54.79266193,28.757,61.564,31.34,83.292,81.089,85.512,77.477,67.682,52.298,86.652,83.052,65.671,64.48481126,41.412,24.898,0,63.825,39.937,28.303,48.552,62.088,25.583,68.888,68.203,82.60659243,76.750341,76.77033198,54.3238232,43.92140537,65.534,61.728,37.43364685,89.886,42.697,41.696,93.35,38.33186011,82.1103061,43.679,69.752,37.393,77.859,77.447,81.67,21.626,56.441,76.203,0,89.064,87.669,86.253,73.856,43.547,69.481,40.194,68.232,48.77,70.951,35.73571866,14.707,76.682,87.29404548,68.96,84.025,43.665,73.41511324,75.52084314,85.96284263,80.91483409,85.179,88.36864465,44.655,81.968,,54.607,65.611,55.568,19.197,22.015,40.144,65.5,47.588,35.787,55.254,92.435,65.489,89.707,83.082,71.731,71.469,24.213,53.40257952,91.98,55.961,80.709,71.803,78.304,49.76087871,90.09497434,86.91271143,79.685,83.408,80.16199954,76.34070344,96.04,73.01855015,59.557,30.073,46.337,4.672,,70.151,0,75.784,89.029,88.77,64.28253831,48.41,63.041,75.48785192,64.786,88.639,9.931,80.434,65.397398,80.498,62.318,47.259,92.949,92.565,64.171,95.511,72.759,29.68045476,81.666,61.219,94.104,84.367,59.97,39.98,49.002,96.429,0,23.475,36.99908597,82.525,72.2239063,77.499,58.147,52.602,69.445,42.886,95.976,51.473,86.19106651,54.067,58.838,64.656,64.33,,77.12069524,36.21608126,56.783,14.307,65.106,45.374,97.346,83.1308078,67.627,88.768,76.355,0,93.962,82.097,61.473,49.999,82.165,,84.98047762,91.263,84.97796716,70.24790477,83.195,52.703,66.047,70.893,26.705,95.665,0,71.283,62.601,51.979,93.038,82.92171066,54.24562853,89.06,80.219,66.44,53.443,50.00180101,89.757,65.397398,82.071,83.1308078,84.97796716,64.996,62.05,67.936,83.556,94.606,95.383,52.458,71.62306314,19.538,29.623,65.762,73.606,37.125,87.382,42.136,84.969,89.417,65.8699281,81.014,,90.541,53.207,81.049,87.179
3,1962,49.254,91.024,88.796,68.985,36.538,67.2198204,24.752,25.233,46.981,32.932,61.573,17.772,35.137,47.936,97.846,7.321,89.53,95.107,94.502,59.506,17.645,38.807,79.563,65.337,46.59,0,62.643,51.901,63.078,52.93,96.001,96.866,78.582,29.506,54.13263148,28.461,61.828,30.565,82.774,79.79,84.942,77.251,66.955,50.857,85.811,82.776,65.596,63.95383829,41.224,24.51,0,63.326,39.445,28.238,47.381,62.021,24.907,67.926,66.786,82.13562633,76.4158884,76.24348545,53.57351837,43.38996019,64.94,61.376,36.94456736,89.562,41.692,40.928,93.126,37.8821109,81.60844982,42.838,69.177,36.511,77.038,77.203,80.406,21.763,55.949,75.648,0,88.582,87.465,86.105,73.766,42.66,69.293,38.594,67.576,47.686,70.911,35.24008203,14.418,76.1,86.93599234,67.999,83.635,43.242,72.88661793,75.04256398,85.6574561,80.62182847,84.942,88.05674299,44.414,81.782,,54.397,64.949,54.022,18.703,21.246,39.645,64.761,46.785,34.856,54.704,92.226,65.156,89.667,82.434,71.097,70.539,23.34,52.50632351,91.905,54.248,80.031,70.911,78.066,48.9449359,89.82786002,86.59126732,79.898,83.247,79.90517135,75.85864449,95.536,72.36363054,58.565,29.557,45.541,4.444,,69.655,0,74.973,88.691,88.712,63.51776798,47.572,61.642,74.98952264,63.527,88.338,9.992,80.09,64.67798726,79.763,60.27,45.74,92.754,91.969,63.445,95.41,72.105,29.26021629,81.252,59.776,94,84.142,59.519,39.796,47.347,96.388,0,22.867,36.50827138,81.393,71.75264949,77.249,57.506,51.486,69.184,42.595,95.653,51.074,85.82208154,52.673,57.864,64.278,64.229,,76.67375912,35.68812937,55.84,13.899,64.414,44.482,97.29,82.94347291,66.482,88.263,75.697,0,93.679,81.533,61.372,48.896,81.628,,84.6703115,91.275,84.66765474,69.76651433,82.031,52.665,65.286,70.066,25.729,95.2,0,70.214,61.956,51.636,92.761,82.45880815,53.52552576,88.156,80.11,66.045,53.298,49.1688782,89.489,64.67798726,81.688,82.94347291,84.66765474,64.136,61.609,67.402,82.992,94.453,95.174,51.706,70.89095845,19.319,29.243,65.5,73.149,36.067,86.981,40.759,84.631,89.235,65.42759604,80.939,,90.169,53.094,80.215,86.918
4,1963,49.27,90.724,88.376,68.914,34.128,66.45095968,23.907,24.691,46.111,32.507,62.183,17.489,35.087,48.236,97.807,7.165,88.882,95.007,94.273,57.77,17.628,38.074,78.791,64.178,46.899,0,62.344,50.922,63.005,51.08,95.783,96.829,77.9,28.693,53.46507911,28.166,62.091,29.8,82.243,78.425,84.353,77.024,66.22,49.416,84.926,82.497,65.394,63.41741759,41.037,24.125,0,62.824,38.956,28.174,46.213,61.954,24.243,66.948,65.338,81.66327179,76.07829478,75.77923299,52.82404535,42.83314408,64.394,61.023,36.38774699,89.228,40.694,40.164,92.896,37.39149709,81.08558174,42.002,68.597,35.298,76.195,76.958,79.077,21.901,55.456,75.085,0,88.081,87.138,85.955,73.677,41.778,69.105,37.017,66.914,46.604,70.871,34.72735046,14.133,75.509,86.56225671,67.021,83.238,42.819,72.40818275,74.59453059,85.33883096,80.31958927,84.701,87.7299859,44.174,81.595,,54.187,64.282,52.468,18.219,20.498,39.147,64.015,46.435,33.936,54.153,91.962,64.822,89.503,81.767,70.455,69.593,22.489,51.60738764,91.83,52.525,79.336,70.002,77.826,48.12677908,89.54644759,86.25779149,80.11,83.084,79.64558583,75.40395686,94.971,71.80158113,57.566,29.047,44.747,4.227,,69.154,0,74.144,88.343,88.655,62.74336386,46.735,60.224,74.52597177,62.25,88.03,10.052,79.741,63.95410827,79.007,58.944,44.229,92.555,91.329,62.714,95.306,71.442,28.84363459,80.83,58.316,93.741,83.913,58.995,39.613,45.698,96.347,0,22.27,36.00130597,80.206,71.26189591,76.998,56.863,50.368,68.923,42.304,95.306,50.674,85.43500435,51.276,56.884,63.899,64.084,,76.22400415,35.14218779,54.611,13.5,63.716,43.592,97.234,82.75437788,64.989,87.738,75.027,0,93.384,80.94,61.271,47.794,81.08,,84.34264663,91.286,84.339846,69.2718384,80.806,52.628,64.517,69.224,24.777,94.688,0,69.123,61.306,51.294,92.473,81.99018908,52.80527472,87.189,80,65.649,53.152,48.33409812,89.215,63.95410827,81.299,82.75437788,84.339846,63.266,61.167,66.863,82.413,94.296,94.955,50.954,70.2607014,19.101,28.866,65.238,72.686,35.023,86.57,39.396,84.286,89.05,65.04035894,80.859,,89.784,52.98,79.288,86.422
5,1964,49.285,90.414,87.942,68.842,31.795,65.65296405,23.081,24.156,45.242,32.084,62.789,17.208,35.038,48.536,97.767,7.012,88.199,94.905,94.036,56.013,17.611,37.358,77.996,63,47.21,0,62.043,49.941,62.932,49.224,95.554,96.682,77.197,27.893,52.79030615,27.873,62.354,29.045,81.701,76.993,83.745,76.796,65.476,47.973,83.996,82.213,64.803,62.88007781,40.85,23.745,0,62.319,38.468,28.109,45.048,61.887,23.591,65.954,63.859,81.182443,75.73602254,75.30439516,52.07559117,42.27808371,63.878,60.669,35.83219075,88.885,39.702,39.404,92.658,36.90354251,80.54657085,41.168,68.009,34.102,75.331,76.711,77.682,22.04,54.961,74.512,0,87.561,86.323,85.803,73.587,40.901,68.915,35.466,66.318,45.525,70.831,34.21517345,13.853,74.906,86.16554591,66.028,82.832,42.397,71.92151974,74.13956546,85.0097314,80.01779104,84.457,87.38733369,43.934,81.405,,53.977,63.609,50.907,17.744,19.768,38.65,63.26,46.086,33.028,53.6,91.682,64.485,89.338,81.08,69.803,68.628,21.659,50.70352364,91.754,50.793,78.622,69.076,77.584,47.30408554,89.25072639,85.91235329,80.321,82.986,79.38364152,74.94229835,94.339,71.22593616,56.559,28.541,43.955,4.02,,68.647,0,73.297,87.986,88.596,61.94110666,45.9,58.786,74.05502885,60.953,87.714,10.114,79.387,63.21921163,78.23,58.415,42.726,92.35,90.643,61.975,95.2,70.768,28.43061235,80.4,56.839,93.471,83.682,58.145,39.43,44.056,96.305,0,21.683,35.49611877,78.96,70.73121956,76.744,56.216,49.248,68.66,42.013,94.931,50.273,85.02766677,49.874,55.898,63.517,63.921,,75.7735163,34.59771806,53.217,13.22,63.011,42.706,97.176,82.56365584,63.128,87.192,74.343,0,93.076,80.288,61.17,46.693,80.547,,83.99984722,91.298,83.99690288,68.75280343,79.516,52.659,63.74,68.369,23.847,94.124,0,68.009,60.651,50.951,92.123,81.51385188,52.08540961,86.153,79.89,65.249,53.007,47.49467425,88.934,63.21921163,80.902,82.56365584,83.99690288,62.387,60.721,66.32,81.817,94.135,94.727,50.2,69.61498577,18.886,28.492,64.975,72.219,33.991,86.146,38.048,83.936,88.862,64.6475248,80.779,,89.386,52.866,77.985,85.908
6,1965,49.3,90.096,87.496,68.77,29.555,64.81343043,22.277,23.631,44.378,31.666,63.39,16.932,34.989,48.836,97.706,6.863,87.481,94.802,93.789,54.245,17.5,36.657,77.183,61.873,47.519,0,61.743,48.963,62.859,47.375,95.313,96.161,76.481,27.108,52.11886997,27.583,62.615,28.304,81.914,75.5,83.12,76.566,64.727,47.18,83.022,81.927,64.209,62.35451704,40.663,23.369,0,61.812,37.984,28.045,43.891,61.82,22.952,64.948,62.357,81.25438685,75.39214386,75.30696731,51.31371202,41.71543867,63.36,60.314,35.27856334,88.534,38.722,38.652,92.413,36.41203934,79.96866118,40.342,67.418,32.929,74.447,76.463,76.225,22.179,54.466,73.933,0,87.022,85.467,85.651,73.498,40.031,68.726,33.95,66.011,44.452,70.791,33.70448099,13.578,74.296,85.75650889,65.023,82.42,41.978,71.69903741,73.90338597,84.67348339,79.71182913,84.211,87.03572831,43.695,81.215,,53.767,62.932,49.349,17.28,19.06,38.157,62.501,45.738,32.134,52.953,91.395,64.149,89.17,80.375,69.145,67.649,20.727,49.86758767,91.677,49.065,77.892,66.334,77.34,46.53833754,88.94451367,85.55149822,80.529,82.89,79.11788957,74.7019924,93.634,71.12144063,55.55,28.042,43.168,3.823,,68.138,0,72.434,87.621,88.542,61.10737649,45.069,57.337,73.82410171,59.645,87.392,10.175,79.029,62.44747053,77.434,57.886,41.241,92.14,89.91,61.233,95.092,70.087,28.02128236,79.965,55.354,93.191,83.449,57.293,39.247,42.432,96.263,0,21.109,34.99337382,77.662,70.17660907,76.489,55.569,48.132,68.396,41.724,94.53,49.874,84.60590176,48.476,54.909,63.134,63.757,,75.33003194,34.051641,51.822,12.946,62.303,41.827,97.118,82.37285202,61.231,86.627,73.649,0,92.755,79.621,61.069,45.598,80.036,,83.64666171,91.31,83.6435727,68.22382868,78.167,52.891,62.957,67.503,22.944,93.506,0,66.877,59.994,50.608,91.594,81.59850961,51.35423351,85.05,79.779,64.848,52.861,46.71496609,88.647,62.44747053,80.501,82.37285202,83.6435727,61.502,60.276,65.773,81.207,93.97,94.491,49.351,69.41329781,18.672,28.121,64.711,71.748,32.978,85.713,36.721,83.579,88.671,64.42690103,80.699,,88.974,52.752,76.628,85.38
7,1966,49.315,89.767,87.035,68.698,27.407,64.01646988,21.492,23.112,43.517,31.25,63.988,16.66,34.939,49.136,97.605,6.716,86.725,94.697,93.533,52.767,17.239,35.96,76.348,60.731,47.83,0,61.441,47.984,62.786,45.531,95.06,95.563,75.748,26.358,51.49460372,27.294,62.876,27.573,82.085,74.794,82.475,76.334,63.969,46.413,82,81.637,63.61,61.82434217,40.477,22.997,0,61.302,37.502,27.981,42.74,61.753,22.381,63.927,61.16,81.29542146,75.04605508,75.31146882,50.5736696,41.15566038,62.838,59.958,34.72716346,88.172,37.749,37.903,92.16,35.93523727,79.42123027,39.52,66.82,31.775,73.672,76.212,74.703,22.318,53.97,73.344,0,86.463,84.567,85.497,73.408,39.167,68.535,32.509,65.702,43.383,70.751,33.20292055,13.308,73.675,85.35555152,64.003,81.999,41.559,71.49117042,73.67842798,84.33837041,79.39962874,83.961,86.68823264,43.53,81.023,,53.363,62.248,48.132,16.825,18.37,37.666,61.735,45.39,31.296,52.304,91.098,63.81,89,79.649,68.479,66.653,19.284,49.03413695,91.6,47.336,77.144,63.302,77.095,45.77405713,88.62860853,85.17500081,80.736,82.793,78.85458253,74.47111965,92.935,71.04038694,54.535,27.548,42.383,3.635,,67.623,0,71.553,87.253,88.607,60.32015819,44.239,55.874,73.6048594,58.32,87.062,10.236,78.666,61.72041708,76.617,57.353,39.769,91.925,89.126,60.484,94.982,69.396,27.6173843,79.522,53.858,92.9,83.212,56.435,39.064,40.821,96.22,0,20.579,34.49304543,76.306,69.62817731,76.231,54.92,47.017,68.131,41.435,94.098,49.474,84.20024241,47.079,53.916,62.75,63.593,,74.89178598,33.51950873,50.422,12.677,61.655,40.952,97.058,82.18057124,59.298,86.041,72.943,0,92.421,78.936,60.967,44.506,79.513,,83.29835088,91.321,83.29511356,67.69907875,76.753,53.123,62.167,66.624,22.086,92.843,0,65.723,59.333,50.266,91.032,81.6520486,50.64249375,83.875,79.668,64.445,52.716,45.93670369,88.354,61.72041708,80.092,82.18057124,83.29511356,60.608,59.77,65.051,80.581,93.801,94.243,48.501,69.23848633,18.461,27.753,64.446,71.271,31.978,85.268,35.413,83.216,88.478,64.23038486,80.618,,88.549,52.638,75.211,84.835
8,1967,49.33,89.43,86.559,68.626,25.359,63.33097552,20.728,22.602,42.659,30.837,64.582,16.493,34.89,49.436,97.499,6.572,85.931,94.589,93.267,51.501,16.981,35.27,75.491,59.578,48.14,0,61.138,47.007,62.713,43.7,94.793,94.876,75,25.845,50.93219354,27.007,63.136,26.854,82.215,74.074,81.81,76.101,63.204,45.648,81.66,81.343,63.007,61.29205923,40.291,22.63,0,60.79,37.022,27.917,41.596,61.686,21.837,62.894,60.996,81.29629474,74.69642303,75.26734324,49.84827181,40.60964348,62.314,59.601,34.18321069,87.8,36.786,37.161,91.9,35.48690346,78.86535912,38.705,66.396,30.643,73.277,75.96,73.117,22.459,53.473,72.746,0,85.884,83.621,85.342,73.318,38.309,68.344,31.147,65.392,42.32,70.711,32.68192166,13.042,73.045,84.94234599,62.97,81.571,41.141,71.26910341,73.439506,83.9800776,79.0777515,83.707,86.31096917,43.689,80.829,,52.205,61.443,47.055,16.379,17.7,37.178,60.964,45.043,30.484,51.654,90.791,63.47,87.902,78.903,67.804,65.029,17.919,48.20315132,91.308,45.614,76.378,60.161,76.847,45.01153174,88.27912276,84.7835051,80.941,82.696,78.58273246,74.22655292,92.575,70.92278689,53.516,27.059,41.602,3.456,,67.104,0,70.655,86.926,88.664,59.59044663,43.413,54.4,73.37098793,56.984,86.726,10.298,78.299,61.07456403,75.78,56.819,38.312,91.704,88.288,59.731,94.751,68.696,27.23780157,79.071,52.354,92.507,82.973,55.573,38.882,39.23,96.177,0,20.148,33.98293241,74.894,69.13075061,75.972,54.268,45.904,67.865,41.147,93.288,49.074,83.78609681,45.686,52.919,62.364,63.429,,74.53917193,32.9822318,49.021,12.412,61.165,40.082,96.997,81.98630235,57.335,85.433,72.224,0,92.072,78.235,60.866,43.419,78.98,,82.94205072,91.333,82.93866532,67.21333449,75.276,53.356,61.37,65.734,21.273,92.271,0,64.551,58.668,49.923,90.436,81.66640138,49.943182,82.626,79.556,64.04,52.57,45.16026845,88.054,61.07456403,79.903,81.98630235,82.93866532,59.706,58.964,64.241,79.939,93.627,93.986,47.652,69.03852849,18.251,27.388,64.18,70.79,30.995,84.812,34.126,82.847,88.282,64.02212103,80.407,,88.109,52.524,73.739,84.273
9,1968,49.346,89.082,86.068,68.554,23.412,62.63381642,20.2,22.099,41.805,30.426,65.171,16.328,34.841,49.737,97.389,6.431,85.097,94.48,92.991,50.232,16.725,34.584,74.613,58.412,48.451,0,60.834,46.03,62.64,41.882,94.513,94.088,74.185,25.338,50.36149606,26.721,63.396,26.146,82.344,73.341,81.125,75.866,62.431,44.883,81.315,81.046,62.399,60.75922049,40.105,22.266,0,60.274,36.544,27.853,40.46,61.619,21.302,61.847,60.831,81.28276185,74.34702379,75.22881413,49.12267681,40.08270762,61.785,59.242,33.68704198,87.642,35.832,36.423,91.74,35.06843045,78.2966955,37.894,66.013,29.762,72.878,75.705,71.467,22.6,52.975,72.14,0,85.284,82.627,85.185,73.227,37.457,68.152,29.814,65.081,41.262,70.671,32.18084818,12.78,72.404,84.5167765,61.924,81.134,40.724,71.05035954,73.20136981,83.61112184,78.75135125,83.451,85.92058042,43.849,80.634,,51.044,60.563,45.98,15.943,17.048,36.691,60.185,44.704,29.684,51.003,90.475,63.129,86.709,78.137,67.122,63.154,16.629,47.372527,91.006,43.899,75.593,56.93,76.597,44.24842101,87.91576491,84.31677267,81.145,82.598,78.3083931,73.97759634,92.198,70.80198824,52.493,26.575,40.825,3.285,,66.581,0,69.74,86.59,88.484,58.85707648,42.589,51.771,73.13825189,55.636,86.381,10.318,77.927,60.40602461,74.921,56.283,35.408,91.478,87.394,58.972,94.495,67.987,26.86145031,78.613,50.844,92.094,82.731,54.707,38.7,37.66,96.133,0,19.723,33.48558277,73.425,68.60880704,75.711,53.615,44.793,67.597,40.858,92.375,48.674,83.34637755,44.298,50.988,61.975,63.265,,74.19659886,32.45678442,47.62,12.152,60.672,39.217,96.934,81.78883635,55.346,84.803,71.493,0,91.708,77.516,60.764,42.337,78.437,,82.57595878,91.344,82.57242587,66.71373802,73.736,53.588,60.565,64.831,20.481,91.656,0,63.359,57.999,49.58,89.804,81.67883909,49.24344589,81.3,79.444,63.632,52.425,44.38341101,87.747,60.40602461,79.873,81.78883635,82.57242587,58.797,58.152,63.423,79.281,93.196,93.717,46.803,68.84318173,18.042,27.026,63.913,70.303,30.027,84.343,32.86,82.471,88.082,63.82449756,80.156,,87.653,52.41,72.209,83.694
10,1969,49.361,88.725,85.564,68.452,21.576,61.92677251,20.2,21.606,40.958,30.02,65.755,16.164,34.792,50.037,97.274,6.293,84.224,94.368,92.704,48.966,16.474,33.907,73.717,57.24,48.762,0,60.53,45.06,62.567,40.092,94.219,93.19,73.355,24.839,49.78484709,26.439,63.654,25.453,82.472,72.596,80.423,75.63,61.655,44.123,80.965,80.745,61.788,60.23164142,39.919,21.907,0,59.758,36.07,27.789,39.336,61.552,20.778,60.793,60.666,81.25931081,73.99241443,75.12072105,48.399581,39.58497011,61.256,58.883,33.26716769,87.483,34.892,35.693,91.578,34.69554809,77.71543778,37.092,65.629,29.352,72.476,75.449,69.763,22.741,52.478,71.527,0,84.664,81.59,85.028,73.137,36.615,67.96,28.519,64.768,40.216,70.631,31.70553934,12.524,71.756,84.07571257,60.87,80.69,40.309,70.84113656,72.96756073,83.22886525,78.42247617,83.191,85.5130413,44.009,80.438,,49.885,59.679,44.911,15.517,16.418,36.208,59.404,44.367,28.898,50.353,90.15,62.786,85.421,77.129,66.433,61.244,15.418,46.54685587,90.696,42.204,74.793,53.648,76.346,43.48917595,87.53551428,83.79381335,81.346,82.5,78.02990529,73.72863237,91.804,70.68958499,51.47,26.098,40.054,3.123,,66.054,0,68.811,86.249,88.302,58.11250864,41.771,49.139,72.91031693,54.282,86.029,10.31,77.551,59.73380367,74.045,55.664,32.616,91.247,86.446,58.21,94.227,67.271,26.4887761,78.148,49.558,91.661,82.487,53.84,38.519,36.119,96.089,0,19.305,33.00396794,71.907,68.06597012,75.448,52.962,43.691,67.328,40.571,91.351,48.274,82.89230238,42.923,48.391,61.586,63.1,,73.84217514,31.95207198,46.227,11.897,60.178,38.362,96.871,81.58600693,53.345,84.152,70.753,0,91.33,76.782,60.663,41.265,77.885,,82.19806153,91.355,82.19438383,66.20208025,72.139,53.82,59.757,63.919,19.713,90.999,0,62.154,57.329,49.237,89.138,81.6897318,48.54582273,79.902,79.332,63.223,52.279,43.61045789,87.434,59.73380367,79.843,81.58600693,82.19438383,57.885,57.338,62.599,78.608,92.689,93.438,45.958,68.66276146,17.836,26.667,63.646,69.813,29.08,83.865,31.622,82.089,87.88,63.62000612,79.903,,87.185,52.296,70.63,83.12
